,,,Subject 1,,,,,,,,,,,,,,,,,,,,,,,,,,,Subject 2,,,,,
,,,Right Hand,,,,,,,,,,,,,,,,,,,,,,,,Left Hand,,,Right Hand,,,Left Hand,,
S.no.,Objects,Alternate Objects,Pose1 +x,Bin Landed,Pose1 +y,Bin Landed,Pose1 +z,Bin Landed,Pose1 -y,Bin Landed,Pose2 +x,Bin Landed,Pose2 +y,Bin Landed,Pose2 +z,Bin Landed,Pose2 -y,Bin Landed,Pose3 +x,Bin Landed,Pose3 +y,Bin Landed,Pose3 +z,Bin Landed,Pose3 -y,Bin Landed,Pose1,Pose2,Pose3,Pose1,Pose2,Pose3,Pose1,Pose2,Pose3
1,Banana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Scissors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Mustart Bottel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Bowl,White Bowl,0,+z,0,+z,0,+z,0,+z,,,,,,,,,,,,,,,,,,,,,,,,,
5,Large Marker,Large Marker,0,+z,1,+z,0,+z,1,+z,0,+z,1,+z,1,+z,0,+z,,,,,,,,,,,,,,,,,
6,Cracker Box,Filament Box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Extra large clamp,,0,+z,1,+z,1,+z,0,+z,0,+z,1,+y,0,+z,0,-y,,,,,,,,,,,,,,,,,
8,Pudding Box,Cardboard Box,0,-y,0,+z,1,+z,1,+z,0,+z,1,+y,0,+z,0,+z,,,,,,,,,,,,,,,,,
9,Potted meat can,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Bleach cleanser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Tape roll,,0,+z,1,+y,1,+z,0,+x,1,+x,1,+z,1,+z,0,+z,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hand collision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pushes object away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
