scene,0,1,2,3
0,0,,,
1,1,0,0,
2,0,,,
3,1,1,,
4,1,0,,
6,1,1,,
8,1,,,
9,1,1,1,
10,1,0,,
12,1,,,
13,1,,,
14,0,,,
15,1,,,
16,1,1,,
17,0,1,1,
18,1,,,
19,1,,,
20,1,1,,
21,1,1,,
22,1,1,1,
23,0,1,,
24,1,1,1,
25,1,1,,
26,1,0,1,
27,1,1,1,
28,1,1,,
29,1,1,,
31,1,,,
32,1,1,1,1
33,1,,,
34,1,1,,
35,1,1,1,
37,0,1,0,
38,1,1,,
40,1,0,0,
41,1,1,,
43,1,1,1,
48,0,,,
49,0,0,0,
52,1,1,0,1
53,1,0,1,
54,1,1,0,
55,1,1,1,
58,1,,,
60,1,,,
61,1,,,
62,1,,,
63,1,0,1,
64,1,1,,
65,0,,,
66,0,1,,
67,1,0,1,
72,0,,,
73,1,1,0,
74,1,1,,
75,1,1,,
76,1,,,
77,0,,,
78,1,1,,
79,0,1,,
80,0,,,
81,1,,,
82,1,,,
83,1,,,
84,0,1,0,
85,1,1,,
86,1,0,0,
87,1,,,
88,1,1,1,
90,1,0,0,
91,1,1,1,1
92,1,1,1,1
93,1,0,1,
94,1,0,0,1
95,1,1,1,1
96,1,1,1,
97,1,1,1,1
98,1,0,1,1
99,1,0,0,1
101,1,,,
102,1,0,,
103,1,1,,
104,1,0,0,1
105,1,1,0,
106,1,0,0,1
107,1,1,0,1
108,1,,,
109,1,1,1,
110,1,1,1,
112,1,1,,
113,1,0,,
114,1,0,1,
115,1,1,0,
120,0,1,,
121,0,0,0,
122,0,0,,
124,1,1,0,0
125,1,0,1,0
126,0,0,1,1
127,1,0,0,0
129,1,,,
132,1,1,0,1
133,1,0,1,1
134,1,1,1,1
135,1,1,0,1
136,1,1,,
137,0,0,1,
138,0,0,1,
139,1,1,,
140,1,1,,
141,0,,,
142,1,,,
143,1,,,
144,0,1,,
145,0,1,,
146,1,1,,
147,1,1,,
148,1,1,,
149,1,,,
150,1,,,
151,1,,,
152,1,1,,
154,1,1,,
156,1,,,
157,1,1,,
158,1,,,
159,1,1,,
160,1,1,1,
161,1,1,1,
162,1,0,1,
163,1,0,1,
164,1,0,,
165,1,0,1,1
166,1,1,0,
167,1,1,1,
168,1,1,1,
169,1,0,0,
170,1,0,1,1
171,1,0,0,
172,1,,,
173,0,,,
175,1,,,
176,1,0,1,1
177,1,1,0,1
178,1,1,0,1
179,1,0,1,1
181,1,,,
182,1,1,1,
183,0,,,
184,1,0,0,
185,1,,,
186,1,0,1,
187,0,0,0,
192,1,1,,
193,1,0,,
195,0,0,,
196,0,0,0,1
197,0,0,0,0
198,0,1,1,0
199,0,1,1,1
200,1,,,
201,0,,,
202,1,,,
203,1,,,
204,1,1,0,0
205,1,1,1,1
206,0,1,0,0
207,1,1,1,1
208,0,1,,
209,0,0,0,0
210,1,1,,
211,1,0,1,
212,1,0,,
213,1,,,
214,1,0,1,
215,1,,,
216,0,0,1,
217,0,0,,
218,0,0,0,
219,1,,,
221,0,,,
222,1,1,1,
223,1,0,,
224,1,1,1,
225,1,1,1,1
226,1,1,0,0
228,1,,,
229,0,1,1,
230,1,0,,
231,1,1,1,
232,1,0,0,
233,1,1,1,1
234,1,1,0,
235,0,1,0,0
236,1,1,1,
237,1,1,0,0
238,1,0,1,0
239,1,1,0,1
240,1,0,1,0
241,1,1,1,
