file            , episode, scene, grasp_idx, bin_assigned, bin_realized, axis, pin_ok, steps, pos_err_m, rot_err_rad, reach, close_label, caption, all
train_regrasp.h5,       0,     0,         0,            0,            0, +x  ,      1,    14,  0.132614, 0.814227   ,     0,           0,       1,   0
train_regrasp.h5,       1,     1,         0,            0,            0, +x  ,      1,    21,  0.004629, 0.000907   ,     1,           1,       1,   1
train_regrasp.h5,       2,     1,         1,            2,            2, +y  ,      1,    14,  0.186237, 0.720573   ,     0,           0,       1,   0
train_regrasp.h5,       3,     1,         2,            3,            3, -y  ,      1,    16,  0.115581, 0.346661   ,     0,           0,       1,   0
train_regrasp.h5,       4,     2,         0,            2,            2, +y  ,      1,    16,  0.048292, 0.334594   ,     0,           0,       1,   0
train_regrasp.h5,       5,     3,         0,            0,            0, +x  ,      1,    21,  0.004537, 0.000255   ,     1,           1,       1,   1
train_regrasp.h5,       6,     3,         1,            4,            4, +z  ,      1,    21,  0.004463, 0.001041   ,     1,           1,       1,   1
train_regrasp.h5,       7,     4,         0,            0,            0, +x  ,      1,    21,  0.00463 , 2.4e-05    ,     1,           1,       1,   1
train_regrasp.h5,       8,     4,         1,            4,            4, +z  ,      1,    20,  0.0205  , 0.000139   ,     0,           0,       1,   0
train_regrasp.h5,       9,     6,         0,            0,            0, +x  ,      1,    21,  0.004551, 0.0        ,     1,           1,       1,   1
train_regrasp.h5,      10,     6,         1,            4,            4, +z  ,      1,    21,  0.004542, 0.000444   ,     1,           1,       1,   1
train_regrasp.h5,      11,     8,         0,            2,            2, +y  ,      1,    21,  0.004569, 0.0        ,     1,           1,       1,   1
train_regrasp.h5,      12,     9,         0,            0,            0, +x  ,      1,    21,  0.004619, 0.00023    ,     1,           1,       1,   1
train_regrasp.h5,      13,     9,         1,            3,            3, -y  ,      1,    21,  0.00447 , 0.000506   ,     1,           1,       1,   1
train_regrasp.h5,      14,     9,         2,            4,            4, +z  ,      1,    21,  0.004609, 0.00051    ,     1,           1,       1,   1
train_regrasp.h5,      15,    10,         0,            0,            0, +x  ,      1,    21,  0.004518, 0.000548   ,     1,           1,       1,   1
train_regrasp.h5,      16,    10,         1,            2,            2, +y  ,      1,    13,  0.221746, 0.979833   ,     0,           0,       1,   0
train_regrasp.h5,      17,    12,         0,            0,            0, +x  ,      1,    21,  0.004609, 0.000118   ,     1,           1,       1,   1
train_regrasp.h5,      18,    13,         0,            0,            0, +x  ,      1,    21,  0.004541, 0.000179   ,     1,           1,       1,   1
train_regrasp.h5,      19,    14,         0,            0,            0, +x  ,      1,    15,  0.13341 , 0.537188   ,     0,           0,       1,   0
train_regrasp.h5,      20,    15,         0,            2,            2, +y  ,      1,    21,  0.004489, 0.0        ,     1,           1,       1,   1
train_regrasp.h5,      21,    16,         0,            0,            0, +x  ,      1,    21,  0.0046  , 0.000495   ,     1,           1,       1,   1
train_regrasp.h5,      22,    16,         1,            4,            4, +z  ,      1,    21,  0.004557, 0.0        ,     1,           1,       1,   1
train_regrasp.h5,      23,    17,         0,            0,            0, +x  ,      1,    17,  0.058213, 0.042507   ,     0,           0,       1,   0
train_regrasp.h5,      24,    17,         1,            3,            3, -y  ,      1,    21,  0.004566, 0.000545   ,     1,           1,       1,   1
train_regrasp.h5,      25,    17,         2,            4,            4, +z  ,      1,    21,  0.004631, 0.000314   ,     1,           1,       1,   1
train_regrasp.h5,      26,    18,         0,            0,            0, +x  ,      1,    21,  0.004526, 0.000374   ,     1,           1,       1,   1
train_regrasp.h5,      27,    19,         0,            0,            0, +x  ,      1,    21,  0.004603, 0.001576   ,     1,           1,       1,   1
train_regrasp.h5,      28,    20,         0,            0,            0, +x  ,      1,    21,  0.004365, 0.000485   ,     1,           1,       1,   1
train_regrasp.h5,      29,    20,         1,            4,            4, +z  ,      1,    21,  0.004678, 0.00068    ,     1,           1,       1,   1
train_regrasp.h5,      30,    21,         0,            0,            0, +x  ,      1,    21,  0.004159, 0.000578   ,     1,           1,       1,   1
train_regrasp.h5,      31,    21,         1,            4,            4, +z  ,      1,    21,  0.004628, 0.00035    ,     1,           1,       1,   1
train_regrasp.h5,      32,    22,         0,            0,            0, +x  ,      1,    21,  0.004289, 0.002732   ,     1,           1,       1,   1
train_regrasp.h5,      33,    22,         1,            2,            2, +y  ,      1,    21,  0.00452 , 0.000551   ,     1,           1,       1,   1
train_regrasp.h5,      34,    22,         2,            4,            4, +z  ,      1,    21,  0.004602, 0.000392   ,     1,           1,       1,   1
train_regrasp.h5,      35,    23,         0,            0,            0, +x  ,      1,    17,  0.05029 , 0.073297   ,     0,           0,       1,   0
train_regrasp.h5,      36,    23,         1,            4,            4, +z  ,      1,    21,  0.004653, 0.0        ,     1,           1,       1,   1
train_regrasp.h5,      37,    24,         0,            0,            0, +x  ,      1,    21,  0.004446, 0.000346   ,     1,           1,       1,   1
train_regrasp.h5,      38,    24,         1,            3,            3, -y  ,      1,    21,  0.004607, 0.0        ,     1,           1,       1,   1
train_regrasp.h5,      39,    24,         2,            4,            4, +z  ,      1,    21,  0.004531, 0.0        ,     1,           1,       1,   1
train_regrasp.h5,      40,    25,         0,            0,            0, +x  ,      1,    21,  0.004466, 0.000583   ,     1,           1,       1,   1
train_regrasp.h5,      41,    25,         1,            4,            4, +z  ,      1,    21,  0.004643, 0.000575   ,     1,           1,       1,   1
train_regrasp.h5,      42,    26,         0,            0,            0, +x  ,      1,    21,  0.00449 , 0.0        ,     1,           1,       1,   1
train_regrasp.h5,      43,    26,         1,            3,            3, -y  ,      1,    15,  0.089221, 0.501851   ,     0,           0,       1,   0
train_regrasp.h5,      44,    26,         2,            4,            4, +z  ,      1,    21,  0.004571, 0.0        ,     1,           1,       1,   1
train_regrasp.h5,      45,    27,         0,            0,            0, +x  ,      1,    21,  0.004603, 0.0        ,     1,           1,       1,   1
train_regrasp.h5,      46,    27,         1,            2,            2, +y  ,      1,    21,  0.00449 , 0.000542   ,     1,           1,       1,   1
train_regrasp.h5,      47,    27,         2,            4,            4, +z  ,      1,    21,  0.00459 , 0.0        ,     1,           1,       1,   1
train_regrasp.h5,      48,    28,         0,            3,            3, -y  ,      1,    21,  0.004557, 0.0        ,     1,           1,       1,   1
train_regrasp.h5,      49,    28,         1,            4,            4, +z  ,      1,    21,  0.004648, 0.0        ,     1,           1,       1,   1
train_regrasp.h5,      50,    29,         0,            0,            0, +x  ,      1,    21,  0.004515, 0.000396   ,     1,           1,       1,   1
train_regrasp.h5,      51,    29,         1,            2,            2, +y  ,      1,    21,  0.004566, 0.0        ,     1,           1,       1,   1
train_regrasp.h5,      52,    31,         0,            0,            0, +x  ,      1,    21,  0.004623, 0.000251   ,     1,           1,       1,   1
train_regrasp.h5,      53,    32,         0,            0,            0, +x  ,      1,    21,  0.004629, 0.000282   ,     1,           1,       1,   1
train_regrasp.h5,      54,    32,         1,            2,            2, +y  ,      1,    21,  0.004562, 0.0        ,     1,           1,       1,   1
train_regrasp.h5,      55,    32,         2,            3,            3, -y  ,      1,    21,  0.004533, 0.0        ,     1,           1,       1,   1
train_regrasp.h5,      56,    32,         3,            4,            4, +z  ,      1,    21,  0.004608, 0.0        ,     1,           1,       1,   1
train_regrasp.h5,      57,    33,         0,            0,            0, +x  ,      1,    21,  0.004315, 0.000646   ,     1,           1,       1,   1
train_regrasp.h5,      58,    34,         0,            0,            0, +x  ,      1,    21,  0.004533, 0.0        ,     1,           1,       1,   1
train_regrasp.h5,      59,    34,         1,            2,            2, +y  ,      1,    21,  0.004579, 0.000429   ,     1,           1,       1,   1
train_regrasp.h5,      60,    35,         0,            0,            0, +x  ,      1,    21,  0.00454 , 0.000397   ,     1,           1,       1,   1
train_regrasp.h5,      61,    35,         1,            2,            2, +y  ,      1,    21,  0.004419, 0.000679   ,     1,           1,       1,   1
train_regrasp.h5,      62,    35,         2,            4,            4, +z  ,      1,    21,  0.004608, 0.000298   ,     1,           1,       1,   1
train_regrasp.h5,      63,    37,         0,            0,            0, +x  ,      1,    18,  0.049336, 0.011923   ,     0,           0,       1,   0
train_regrasp.h5,      64,    37,         1,            2,            2, +y  ,      1,    21,  0.004625, 0.0        ,     1,           1,       1,   1
train_regrasp.h5,      65,    37,         2,            4,            4, +z  ,      1,    16,  0.069223, 0.238187   ,     0,           0,       1,   0
train_regrasp.h5,      66,    38,         0,            0,            0, +x  ,      1,    21,  0.004525, 0.0        ,     1,           1,       1,   1
train_regrasp.h5,      67,    38,         1,            2,            2, +y  ,      1,    21,  0.004587, 0.0        ,     1,           1,       1,   1
train_regrasp.h5,      68,    40,         0,            0,            0, +x  ,      1,    21,  0.004377, 0.000507   ,     1,           1,       1,   1
train_regrasp.h5,      69,    40,         1,            2,            2, +y  ,      1,    17,  0.048395, 0.059796   ,     0,           0,       1,   0
train_regrasp.h5,      70,    40,         2,            3,            3, -y  ,      1,    18,  0.045583, 0.015261   ,     0,           0,       1,   0
train_regrasp.h5,      71,    41,         0,            0,            0, +x  ,      1,    21,  0.004505, 0.000271   ,     1,           1,       1,   1
train_regrasp.h5,      72,    41,         1,            2,            2, +y  ,      1,    21,  0.004609, 0.0        ,     1,           1,       1,   1
train_regrasp.h5,      73,    43,         0,            0,            0, +x  ,      1,    21,  0.004468, 0.000192   ,     1,           1,       1,   1
train_regrasp.h5,      74,    43,         1,            2,            2, +y  ,      1,    21,  0.004584, 0.000692   ,     1,           1,       1,   1
train_regrasp.h5,      75,    43,         2,            3,            3, -y  ,      1,    21,  0.004585, 0.0        ,     1,           1,       1,   1
train_regrasp.h5,      76,    48,         0,            0,            0, +x  ,      1,    14,  0.045295, 0.302191   ,     0,           0,       1,   0
train_regrasp.h5,      77,    49,         0,            0,            0, +x  ,      1,    17,  0.065409, 0.038925   ,     0,           0,       1,   0
train_regrasp.h5,      78,    49,         1,            3,            3, -y  ,      1,    20,  0.020623, 0.0        ,     0,           0,       1,   0
train_regrasp.h5,      79,    49,         2,            4,            4, +z  ,      1,    20,  0.0206  , 0.0006     ,     0,           0,       1,   0
train_regrasp.h5,      80,    52,         0,            0,            0, +x  ,      1,    21,  0.004521, 0.000544   ,     1,           1,       1,   1
train_regrasp.h5,      81,    52,         1,            2,            2, +y  ,      1,    21,  0.004576, 0.000157   ,     1,           1,       1,   1
train_regrasp.h5,      82,    52,         2,            3,            3, -y  ,      1,    15,  0.100307, 0.501659   ,     0,           0,       1,   0
train_regrasp.h5,      83,    52,         3,            4,            4, +z  ,      1,    21,  0.004518, 0.000309   ,     1,           1,       1,   1
train_regrasp.h5,      84,    53,         0,            0,            0, +x  ,      1,    21,  0.004407, 0.0        ,     1,           1,       1,   1
train_regrasp.h5,      85,    53,         1,            3,            3, -y  ,      1,    19,  0.035924, 0.00352    ,     0,           0,       1,   0
train_regrasp.h5,      86,    53,         2,            4,            4, +z  ,      1,    21,  0.004633, 0.0        ,     1,           1,       1,   1
train_regrasp.h5,      87,    54,         0,            0,            0, +x  ,      1,    21,  0.004343, 0.000555   ,     1,           1,       1,   1
train_regrasp.h5,      88,    54,         1,            2,            2, +y  ,      1,    21,  0.004466, 0.00049    ,     1,           1,       1,   1
train_regrasp.h5,      89,    54,         2,            4,            4, +z  ,      1,    15,  0.178085, 0.175399   ,     0,           0,       1,   0
train_regrasp.h5,      90,    55,         0,            0,            0, +x  ,      1,    21,  0.004597, 0.000448   ,     1,           1,       1,   1
train_regrasp.h5,      91,    55,         1,            3,            3, -y  ,      1,    21,  0.004496, 0.000313   ,     1,           1,       1,   1
train_regrasp.h5,      92,    55,         2,            4,            4, +z  ,      1,    21,  0.004587, 0.0        ,     1,           1,       1,   1
train_regrasp.h5,      93,    58,         0,            0,            0, +x  ,      1,    21,  0.004502, 0.0001     ,     1,           1,       1,   1
train_regrasp.h5,      94,    60,         0,            0,            0, +x  ,      1,    21,  0.004765, 0.002466   ,     1,           1,       1,   1
train_regrasp.h5,      95,    61,         0,            0,            0, +x  ,      1,    21,  0.004562, 0.0        ,     1,           1,       1,   1
train_regrasp.h5,      96,    62,         0,            0,            0, +x  ,      1,    21,  0.00432 , 0.001132   ,     1,           1,       1,   1
train_regrasp.h5,      97,    63,         0,            0,            0, +x  ,      1,    21,  0.004554, 0.0        ,     1,           1,       1,   1
train_regrasp.h5,      98,    63,         1,            2,            2, +y  ,      1,    15,  0.130162, 0.499921   ,     0,           0,       1,   0
train_regrasp.h5,      99,    63,         2,            4,            4, +z  ,      1,    21,  0.004624, 0.0        ,     1,           1,       1,   1
train_regrasp.h5,     100,    64,         0,            0,            0, +x  ,      1,    21,  0.004392, 0.000525   ,     1,           1,       1,   1
train_regrasp.h5,     101,    64,         1,            4,            4, +z  ,      1,    21,  0.004633, 0.0        ,     1,           1,       1,   1
train_regrasp.h5,     102,    65,         0,            2,            2, +y  ,      1,    13,  0.134194, 0.971441   ,     0,           0,       1,   0
