scene,0,1,2,3,4,5
0,1,,,,,
1,1,0,0,1,,
2,1,,,,,
3,1,1,,,,
4,1,0,,,,
6,1,,,,,
8,1,,,,,
9,1,1,,,,
10,0,1,,,,
12,1,1,,,,
14,1,,,,,
15,1,,,,,
16,1,1,1,,,
17,1,1,1,,,
19,1,,,,,
20,1,1,1,,,
21,1,1,,,,
22,1,1,,,,
23,1,0,0,0,,
24,1,1,1,,,
25,1,1,1,,,
26,1,0,,,,
27,1,1,,,,
28,1,,,,,
29,1,1,,,,
31,1,,,,,
32,1,,,,,
33,1,,,,,
34,1,1,0,1,,
35,1,1,1,,,
37,1,1,,,,
38,1,1,1,,,
40,0,,,,,
41,1,,,,,
43,1,,,,,
48,1,1,0,,,
49,1,1,1,,,
52,1,0,1,,,
53,0,0,,,,
54,0,0,,,,
55,1,,,,,
60,1,,,,,
61,1,1,,,,
62,1,1,1,,,
63,1,,,,,
64,1,1,,,,
65,0,,,,,
66,1,1,1,,,
67,1,0,1,,,
72,1,,,,,
73,1,1,,,,
74,1,,,,,
75,0,,,,,
76,0,1,0,1,,
77,1,,,,,
78,1,,,,,
79,1,,,,,
80,0,,,,,
81,1,,,,,
82,1,1,,,,
83,1,,,,,
84,1,,,,,
85,1,,,,,
86,0,1,1,,,
87,0,0,,,,
88,1,1,1,0,,
90,0,0,,,,
91,0,1,1,,,
92,1,1,1,,,
93,1,1,1,,,
94,1,0,0,,,
95,1,1,,,,
96,1,1,1,,,
97,1,1,1,1,,
98,1,0,1,1,,
99,1,1,1,1,,
101,1,,,,,
102,0,,,,,
103,1,,,,,
104,0,1,,,,
105,1,1,,,,
106,1,0,1,,,
107,1,0,1,,,
108,1,,,,,
109,1,0,1,,,
110,1,1,0,,,
112,0,0,,,,
113,0,,,,,
114,1,0,,,,
115,0,,,,,
120,1,0,0,,,
121,0,0,0,,,
122,1,0,1,,,
123,0,,,,,
124,0,0,0,1,,
125,1,1,1,0,,
126,1,0,1,,,
127,0,0,0,,,
129,1,,,,,
132,1,1,,,,
133,1,0,1,,,
134,1,1,1,1,,
135,1,0,,,,
