file                , episode, scene, grasp_idx, bin_assigned, bin_realized, axis, pin_ok, steps, pos_err_m, rot_err_rad, reach, close_label, caption, all
train_regrasp_off.h5,       0,     0,         0,            2, 2           , +y  ,      1,    21,  0.004537, 0.000437   ,     1,           1,       1,   1
train_regrasp_off.h5,       1,     1,         0,            0, 0           , +x  ,      1,    21,  0.0046  , 0.0        ,     1,           1,       1,   1
train_regrasp_off.h5,       2,     1,         1,            1, 1           , -x  ,      1,    15,  0.150072, 0.472589   ,     0,           0,       1,   0
train_regrasp_off.h5,       3,     1,         2,            2, 2           , +y  ,      1,    14,  0.084648, 0.6293     ,     0,           0,       1,   0
train_regrasp_off.h5,       4,     1,         3,            3, 3           , -y  ,      1,    21,  0.004667, 0.000354   ,     1,           1,       1,   1
train_regrasp_off.h5,       5,     2,         0,            2, 2           , +y  ,      1,    21,  0.004649, 0.000385   ,     1,           1,       1,   1
train_regrasp_off.h5,       6,     3,         0,            0, 0           , +x  ,      1,    21,  0.004603, 0.000263   ,     1,           1,       1,   1
train_regrasp_off.h5,       7,     3,         1,            4, 4           , +z  ,      1,    21,  0.004655, 0.00061    ,     1,           1,       1,   1
train_regrasp_off.h5,       8,     4,         0,            0, 0           , +x  ,      1,    21,  0.004616, 0.00045    ,     1,           1,       1,   1
train_regrasp_off.h5,       9,     4,         1,            2, 2           , +y  ,      1,    19,  0.036848, 0.003568   ,     0,           0,       1,   0
train_regrasp_off.h5,      10,     6,         0,            0, 0           , +x  ,      1,    21,  0.004589, 0.00052    ,     1,           1,       1,   1
train_regrasp_off.h5,      11,     8,         0,            5, 5           , -z  ,      1,    21,  0.004569, 0.0        ,     1,           1,       1,   1
train_regrasp_off.h5,      12,     9,         0,            2, 2           , +y  ,      1,    21,  0.004589, 0.000526   ,     1,           1,       1,   1
train_regrasp_off.h5,      13,     9,         1,            5, 5           , -z  ,      1,    21,  0.00447 , 0.000506   ,     1,           1,       1,   1
train_regrasp_off.h5,      14,    10,         0,            1, 1           , -x  ,      1,    13,  0.221746, 0.979833   ,     0,           0,       1,   0
train_regrasp_off.h5,      15,    10,         1,            5, 5           , -z  ,      1,    21,  0.004568, 0.000214   ,     1,           1,       1,   1
train_regrasp_off.h5,      16,    12,         0,            4, 4           , +z  ,      1,    21,  0.004571, 0.0        ,     1,           1,       1,   1
train_regrasp_off.h5,      17,    12,         1,            5, 5           , -z  ,      1,    21,  0.004653, 0.000106   ,     1,           1,       1,   1
train_regrasp_off.h5,      18,    14,         0,            4, 4           , +z  ,      1,    21,  0.004667, 0.000516   ,     1,           1,       1,   1
train_regrasp_off.h5,      19,    15,         0,            4, 4           , +z  ,      1,    21,  0.004565, 0.0        ,     1,           1,       1,   1
