iter,beta,m,episodes,steps,skipped,pinned,reached_standoff,reached_grasp,reach_steps,omg_fail,goal_switch,expert_steps,policy_closed,mean_min_pos,mean_min_rot,mean_policy_close_step,c_close_label,c_policy_close,c_max_steps,c_env_done,c_no_labels,c_omg_fail0,revisits,grasp_mismatch,max_grasp_drift,close_labels,approach_labels,mean_label_pos,tiny_labels,aggregate_files,D_episodes,D_steps,D_dagger_frac,epochs,train_loss,train_grip_acc,val_loss,val_grip_acc,best_val_loss,success_rate,grasp_rate,near_rate,close_rate,close_success_rate,chance_rate,missed_rate,miss_given_chance,eval_min_pos,eval_min_rot,mean_dist,mean_pos_err,mean_rot_err,mean_close_step,f_grasp_ok,f_grasp_miss,f_no_release,f_drop,f_timeout,f_human_contact,is_best,collect_s,train_s,eval_s,wall_s
0,1.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1,623,12221,0.0,100,0.0138,0.9977,0.1052,0.988,0.0658,0.05,0.05,0.0,0.2,0.25,0.0,0.0,,0.2121,0.8931,0.2904,0.1624,1.2728,36.15,0.05,0.0,0.13,0.06,0.76,0.0,1,,,,0.0
1,0.0,20,18,821,2,18,0,0,0,2,0,0,6,0.1926,0.8173,36.0,0,6,11,1,0,2,0,0,0.0,0,821,0.0531,0,2,641,13042,0.063,50,0.0243,0.9952,0.0711,0.9846,0.0645,,,,,,,,,,,,,,,,,,,,,0,193.1,565.5,0.0,758.8
2,0.0,20,20,942,0,20,0,0,0,0,0,0,0,0.175,0.6918,,0,0,17,3,0,0,0,0,0.0,0,942,0.0625,0,3,661,13984,0.1261,50,0.0316,0.9922,0.0673,0.9897,0.0611,0.03,0.03,0.0,0.12,0.25,0.0,0.0,,0.2006,0.8681,0.321,0.0861,1.3121,29.3333,0.03,0.0,0.05,0.25,0.58,0.09,0,225.2,589.2,706.9,1521.6
3,0.0,20,18,804,2,18,2,0,9,2,0,0,1,0.1821,0.6861,32.0,0,1,11,6,0,2,1,0,0.0,0,804,0.0586,0,4,679,14788,0.1736,50,0.0265,0.995,0.0695,0.9846,0.0609,,,,,,,,,,,,,,,,,,,,,0,187.6,625.7,0.0,813.5
4,0.0,20,19,718,1,19,1,0,15,1,0,0,7,0.1417,0.9227,26.57,0,7,6,6,0,1,4,0,0.0,0,718,0.0607,0,5,698,15506,0.2119,50,0.0274,0.9935,0.0769,0.9829,0.0603,0.13,0.13,0.0,0.23,0.5652,0.0,0.0,,0.1338,0.8589,0.2315,0.1207,1.0664,28.913,0.13,0.0,0.09,0.23,0.43,0.12,1,172.7,673.4,691.4,1537.9
5,0.0,20,17,588,3,17,0,0,0,3,0,0,3,0.1567,0.779,22.67,0,3,5,9,0,3,5,0,0.0,0,588,0.0776,0,6,715,16094,0.2406,50,0.0264,0.9943,0.0764,0.9829,0.063,,,,,,,,,,,,,,,,,,,,,0,147.3,700.9,0.0,851.3
6,0.0,20,16,611,4,16,0,0,0,4,0,0,0,0.1384,0.7631,,0,0,9,7,0,4,2,0,0.0,0,611,0.0488,0,7,731,16705,0.2684,50,0.0247,0.9953,0.0875,0.9829,0.0649,0.1,0.1,0.0,0.13,0.7692,0.0,0.0,,0.1755,0.8511,0.2693,0.1006,0.9758,36.3846,0.1,0.0,0.01,0.21,0.63,0.05,0,148.9,726.6,775.3,1651.0
7,0.0,20,19,891,1,19,0,0,0,1,0,0,3,0.1616,0.7123,37.67,0,3,15,1,0,1,5,0,0.0,0,891,0.0545,0,8,750,17596,0.3055,50,0.0232,0.9953,0.0793,0.9846,0.0641,,,,,,,,,,,,,,,,,,,,,0,208.9,763.3,0.0,972.4
8,0.0,20,18,691,2,18,2,0,22,2,0,0,1,0.1576,0.9499,15.0,0,1,9,8,0,2,4,0,0.0,0,691,0.0606,0,9,768,18287,0.3317,50,0.0245,0.9943,0.0728,0.9795,0.063,0.0,0.0,0.0,0.02,0.0,0.0,0.0,,0.1701,0.9169,0.2944,0.0884,1.6276,22.5,0.0,0.0,0.0,0.22,0.76,0.02,0,166.2,796.0,809.9,1772.4
9,0.0,20,18,796,2,18,2,1,39,2,0,0,0,0.1972,0.6218,,1,0,13,4,0,2,4,0,0.0,1,795,0.0554,1,10,786,19083,0.3596,50,0.0236,0.9946,0.0803,0.9829,0.0622,,,,,,,,,,,,,,,,,,,,,0,190.4,821.9,0.0,1012.6
10,0.0,20,17,691,3,17,1,0,11,3,0,0,1,0.1974,0.8065,22.0,0,1,10,6,0,3,4,0,0.0,0,691,0.0565,0,11,803,19774,0.382,50,0.0218,0.9956,0.0882,0.9812,0.0629,0.01,0.01,0.0,0.04,0.25,0.0,0.0,,0.1823,0.8502,0.3146,0.1394,1.1967,30.0,0.01,0.0,0.03,0.14,0.8,0.02,0,159.6,857.8,802.8,1820.6
11,0.0,20,16,726,4,16,1,0,6,4,0,0,1,0.164,0.916,22.0,0,1,11,4,0,4,4,0,0.0,0,726,0.0629,0,12,819,20500,0.4039,50,0.0202,0.9962,0.0765,0.9829,0.0635,,,,,,,,,,,,,,,,,,,,,0,170.1,894.9,0.0,1065.2
12,0.0,20,15,669,5,15,1,0,10,5,0,0,1,0.177,0.5942,35.0,0,1,10,4,0,5,3,0,0.0167,0,669,0.0508,0,13,834,21169,0.4227,50,0.0233,0.9947,0.0765,0.988,0.0623,0.02,0.02,0.0,0.03,0.6667,0.0,0.0,,0.1875,0.8475,0.3129,0.1468,1.5909,43.0,0.02,0.0,0.0,0.17,0.79,0.02,0,162.0,918.3,816.0,1896.6
13,0.0,20,19,752,1,19,1,0,3,1,0,0,0,0.1889,0.4606,,0,0,11,8,0,1,8,0,0.0146,0,752,0.0488,0,14,853,21921,0.4425,50,0.0207,0.9961,0.0785,0.9829,0.0618,,,,,,,,,,,,,,,,,,,,,0,180.0,982.2,0.0,1162.5
14,0.0,20,17,748,3,17,0,0,0,3,0,0,1,0.2184,0.7329,35.0,0,1,11,5,0,3,8,0,0.0,0,748,0.0547,0,15,870,22669,0.4609,50,0.0207,0.9959,0.0854,0.9812,0.0667,0.03,0.03,0.0,0.03,1.0,0.0,0.0,,0.1773,0.8574,0.2948,0.0858,0.5149,41.3333,0.03,0.0,0.0,0.23,0.71,0.03,0,177.0,974.4,785.5,1937.1
15,0.0,20,19,845,1,19,2,0,82,1,0,0,0,0.1395,0.5851,,0,0,15,4,0,1,4,0,0.0,0,845,0.06,0,16,889,23514,0.4803,50,0.017,0.9973,0.0837,0.9846,0.0624,,,,,,,,,,,,,,,,,,,,,0,200.6,1013.0,0.0,1213.8
16,0.0,20,18,700,2,18,3,0,90,2,0,0,1,0.1653,0.9321,32.0,0,1,11,6,0,2,4,0,0.0,0,700,0.0809,0,17,907,24214,0.4953,50,0.0208,0.9956,0.0762,0.9829,0.0598,0.0,0.0,0.0,0.0,,0.0,0.0,,0.1562,0.8839,0.2448,,,,0.0,0.0,0.0,0.41,0.47,0.12,0,170.3,1040.7,688.7,1900.0
