iter,beta,m,episodes,steps,skipped,pinned,reached_standoff,reached_grasp,reach_steps,omg_fail,goal_switch,expert_steps,policy_closed,policy_close_cmds,dropped_tail,dart,dart_env_done,mean_min_pos,mean_min_rot,mean_policy_close_step,c_close_label,c_policy_close,c_max_steps,c_env_done,c_no_labels,c_omg_fail0,revisits,grasp_mismatch,max_grasp_drift,close_labels,approach_labels,mean_label_pos,tiny_labels,aggregate_files,D_episodes,D_steps,D_dagger_frac,epochs,train_loss,train_grip_acc,val_loss,val_grip_acc,best_val_loss,success_rate,grasp_rate,near_rate,close_rate,close_success_rate,chance_rate,missed_rate,miss_given_chance,eval_min_pos,eval_min_rot,mean_dist,mean_pos_err,mean_rot_err,mean_close_step,f_grasp_ok,f_grasp_miss,f_no_release,f_drop,f_timeout,f_human_contact,is_best,collect_s,train_s,eval_s,wall_s
0,1.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,472,9912,0.0,100,0.013,0.9982,0.1718,0.9804,0.1169,0.49,0.47,0.0,0.59,0.8305,0.0,0.0,,0.0766,0.6434,0.1808,0.0778,0.7866,23.4068,0.49,0.0,0.07,0.17,0.05,0.22,1,,,,0.0
1,1.0,100,100,3309,0,100,78,77,464,0,0,2577,0,0,12,667,5,0.0269,0.1097,,77,0,6,17,0,0,0,0,0.0,77,3232,0.0326,0,2,572,13221,0.2503,25,0.069,0.9904,0.1437,0.9888,0.1395,,,,,,,,,,,,,,,,,,,,,0,62.2,329.5,0.0,392.0
2,0.9667,100,100,3440,0,100,85,78,496,0,0,2601,0,0,8,717,5,0.0199,0.0582,,78,0,9,13,0,0,22,0,0.0,78,3362,0.0322,0,3,672,16661,0.4051,25,0.0765,0.9908,0.1837,0.9804,0.1671,0.59,0.61,0.03,0.66,0.8939,0.03,0.0,0.0,0.0812,0.6443,0.1768,0.0744,0.7674,25.0152,0.59,0.0,0.05,0.15,0.02,0.19,1,53.0,391.0,478.9,923.9
3,0.9333,100,100,3296,0,100,85,81,498,0,0,2420,0,0,11,669,1,0.023,0.0881,,81,0,6,13,0,0,40,0,0.01,81,3215,0.0315,0,4,772,19957,0.5033,25,0.0778,0.9922,0.2024,0.9804,0.1802,,,,,,,,,,,,,,,,,,,,,0,51.5,479.2,0.0,530.9
4,0.9,100,100,3381,0,100,85,83,507,0,0,2413,0,0,8,684,2,0.0194,0.0584,,83,0,4,13,0,0,53,0,0.0158,83,3298,0.0319,0,5,872,23338,0.5753,25,0.0803,0.9921,0.2048,0.9804,0.1945,0.6,0.6,0.04,0.7,0.8571,0.04,0.0,0.0,0.0839,0.5712,0.1613,0.0807,0.7149,23.6571,0.6,0.0,0.07,0.14,0.01,0.18,1,57.5,570.5,466.8,1095.3
5,0.8667,100,100,3354,0,100,90,88,533,0,0,2253,1,1,5,727,3,0.015,0.0564,24.0,88,0,3,9,0,0,50,0,0.0158,88,3266,0.0319,0,6,972,26692,0.6287,25,0.0797,0.9939,0.2211,0.9776,0.2079,,,,,,,,,,,,,,,,,,,,,0,59.8,646.8,0.0,706.9
6,0.8333,100,100,3432,0,100,86,82,513,0,0,2306,0,0,8,681,4,0.0196,0.0683,,82,0,6,12,0,0,76,0,0.0101,82,3350,0.0313,0,7,1072,30124,0.671,25,0.0812,0.9928,0.2455,0.9832,0.2261,0.44,0.44,0.02,0.5,0.88,0.02,0.0,0.0,0.092,0.7269,0.1835,0.0755,0.814,23.4,0.44,0.0,0.03,0.29,0.01,0.23,0,59.0,724.1,452.3,1235.7
7,0.8,100,100,3419,0,100,81,76,474,0,0,2127,0,0,6,762,5,0.0245,0.0664,,76,0,10,14,0,0,85,0,0.0101,76,3343,0.0319,0,8,1172,33543,0.7045,25,0.0796,0.9934,0.2606,0.9832,0.2407,,,,,,,,,,,,,,,,,,,,,0,61.1,822.5,0.0,883.7
8,0.7667,100,100,3282,0,100,80,75,463,0,0,2024,0,0,13,730,5,0.0248,0.0959,,75,0,6,19,0,0,84,0,0.0,75,3207,0.0326,2,9,1272,36825,0.7308,25,0.0771,0.9946,0.265,0.9832,0.2405,0.52,0.52,0.03,0.6,0.8667,0.03,0.01,0.3333,0.0771,0.6479,0.1791,0.0742,0.8308,23.6333,0.52,0.0,0.05,0.2,0.01,0.22,0,59.6,886.9,455.4,1402.3
9,0.7333,100,100,3426,0,100,84,74,474,0,0,1995,1,1,5,758,9,0.022,0.0565,47.0,74,0,12,14,0,0,85,0,0.0101,74,3352,0.0326,0,10,1372,40251,0.7537,25,0.0774,0.9941,0.2682,0.9804,0.24,,,,,,,,,,,,,,,,,,,,,0,58.5,972.8,0.0,1031.7
