iter,beta,m,episodes,steps,skipped,pinned,reached_standoff,reached_grasp,reach_steps,omg_fail,goal_switch,expert_steps,policy_closed,policy_close_cmds,dropped_tail,dart,dart_env_done,dart_reach,dart_reject,mean_min_pos,mean_min_rot,mean_policy_close_step,c_close_label,c_policy_close,c_max_steps,c_env_done,c_no_labels,c_omg_fail0,revisits,grasp_mismatch,max_grasp_drift,close_labels,approach_labels,mean_label_pos,tiny_labels,aggregate_files,D_episodes,D_steps,D_dagger_frac,epochs,train_loss,train_grip_acc,val_loss,val_grip_acc,best_val_loss,success_rate,grasp_rate,near_rate,close_rate,close_success_rate,chance_rate,missed_rate,miss_given_chance,eval_min_pos,eval_min_rot,mean_dist,mean_pos_err,mean_rot_err,mean_close_step,f_grasp_ok,f_grasp_miss,f_no_release,f_drop,f_timeout,f_human_contact,is_best,collect_s,train_s,eval_s,wall_s
0,1.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,472,9912,0.0,100,0.036,0.9974,0.2038,0.9804,0.1317,0.49,0.45,0.01,0.64,0.7656,0.01,0.0,0.0,0.0886,0.7862,0.1713,0.0833,0.9685,23.7188,0.49,0.0,0.11,0.15,0.02,0.23,1,,,,0.0
1,1.0,100,100,3303,0,100,79,78,470,0,0,2579,0,0,12,658,5,0,0,0.0258,0.1077,,78,0,5,17,0,0,0,0,0.0,78,3225,0.0326,0,2,572,13215,0.2499,25,0.1016,0.9891,0.1704,0.9804,0.1585,,,,,,,,,,,,,,,,,,,,,0,56.4,339.9,0.0,396.6
2,0.9583,100,100,3420,0,100,87,81,509,0,0,2572,0,0,7,701,4,0,0,0.0187,0.0496,,81,0,8,11,0,0,22,0,0.0,81,3339,0.0322,0,3,672,16635,0.4041,25,0.105,0.9908,0.199,0.9832,0.1922,0.49,0.5,0.02,0.52,0.9423,0.02,0.0,0.0,0.0805,0.8363,0.1645,0.0729,0.9165,21.0577,0.49,0.01,0.01,0.1,0.06,0.33,1,51.8,438.3,490.0,980.8
3,0.9167,100,100,3282,0,100,85,81,501,0,0,2368,0,0,12,660,1,0,0,0.0229,0.0874,,81,0,6,13,0,0,40,0,0.01,81,3201,0.0315,1,4,772,19917,0.5023,25,0.1032,0.9922,0.1828,0.986,0.1769,,,,,,,,,,,,,,,,,,,,,0,50.3,570.8,0.0,623.0
4,0.875,100,100,3365,0,100,82,77,482,0,0,2332,0,0,7,702,6,0,0,0.0247,0.0602,,77,0,10,13,0,0,53,0,0.0158,77,3288,0.0319,0,5,872,23282,0.5743,25,0.1032,0.9927,0.21,0.9832,0.2035,0.54,0.55,0.04,0.6,0.9,0.05,0.0,0.0,0.081,0.7957,0.1708,0.0713,0.7927,23.5167,0.54,0.0,0.03,0.14,0.01,0.28,1,50.7,599.5,484.4,1138.8
5,0.8333,100,100,3351,0,100,87,87,522,0,0,2177,1,1,4,722,4,0,0,0.0165,0.0599,23.0,87,0,2,11,0,0,50,0,0.0158,87,3264,0.0321,0,6,972,26633,0.6278,25,0.1023,0.9928,0.2107,0.9832,0.2089,,,,,,,,,,,,,,,,,,,,,0,49.8,711.4,0.0,761.6
6,0.7917,100,100,3477,0,100,83,78,485,0,0,2216,0,0,7,728,5,0,0,0.0227,0.0715,,78,0,8,14,0,0,76,0,0.0084,78,3399,0.0312,0,7,1072,30110,0.6708,25,0.1023,0.9926,0.2521,0.9776,0.2324,0.32,0.31,0.01,0.45,0.7111,0.01,0.0,0.0,0.097,0.8155,0.1754,0.0762,0.903,22.4222,0.32,0.0,0.08,0.37,0.0,0.23,0,52.5,797.4,400.2,1250.5
7,0.75,100,100,3471,0,100,80,73,462,0,0,2039,0,0,9,794,5,0,0,0.0274,0.0764,,73,0,11,16,0,0,85,0,0.011,73,3398,0.0318,0,8,1172,33581,0.7048,25,0.0986,0.9937,0.2424,0.9776,0.2302,,,,,,,,,,,,,,,,,,,,,0,58.5,920.0,0.0,978.8
8,0.7083,100,100,3269,0,100,80,75,459,0,0,1910,0,0,10,701,9,0,0,0.0259,0.0931,,75,0,5,20,0,0,84,0,0.0,75,3194,0.0327,3,9,1272,36850,0.731,25,0.0989,0.9933,0.2587,0.9692,0.2372,0.45,0.45,0.02,0.52,0.8654,0.02,0.0,0.0,0.0894,0.7948,0.1705,0.0778,0.8829,24.8269,0.45,0.0,0.04,0.21,0.04,0.26,0,50.6,989.1,500.4,1540.5
9,0.6667,100,100,3503,0,100,86,77,489,0,0,1917,0,0,7,737,4,0,0,0.023,0.0598,,77,0,11,12,0,0,85,0,0.011,77,3426,0.0321,0,10,1372,40353,0.7544,25,0.0957,0.9938,0.2509,0.9804,0.2294,,,,,,,,,,,,,,,,,,,,,0,53.5,1085.0,0.0,1138.9
10,0.625,100,100,3510,0,100,84,77,479,0,0,1874,1,4,6,693,5,0,0,0.0247,0.0671,34.0,77,0,10,13,0,0,90,0,0.0122,77,3433,0.0309,3,11,1472,43863,0.774,25,0.0954,0.9947,0.2545,0.9776,0.2372,0.46,0.46,0.01,0.6,0.7667,0.01,0.0,0.0,0.0861,0.7833,0.1717,0.0868,1.0153,24.4,0.46,0.0,0.12,0.19,0.05,0.18,0,51.3,1163.6,496.5,1711.8
11,0.5833,100,100,3514,0,100,71,65,408,0,0,1717,0,0,8,744,10,0,0,0.0353,0.1183,,65,0,13,22,0,0,91,0,0.01,65,3449,0.0316,4,12,1572,47377,0.7908,25,0.0966,0.994,0.2513,0.9804,0.2379,,,,,,,,,,,,,,,,,,,,,0,55.8,1256.7,0.0,1312.9
12,0.5417,100,100,3647,0,100,74,68,430,0,0,1662,1,1,5,776,7,0,0,0.0302,0.0963,30.0,68,0,16,16,0,0,92,0,0.0098,68,3579,0.0317,0,13,1672,51024,0.8057,25,0.0947,0.9946,0.2431,0.986,0.2425,0.58,0.58,0.05,0.6,0.9667,0.06,0.0,0.0,0.0811,0.7656,0.1668,0.071,0.7593,24.5,0.58,0.0,0.01,0.08,0.06,0.27,1,56.0,1483.2,530.8,2071.1
13,0.5,100,100,3429,0,100,77,72,445,0,0,1511,3,5,5,704,12,0,0,0.0308,0.1217,34.0,72,0,7,21,0,0,90,0,0.0158,72,3357,0.0327,3,14,1772,54453,0.818,25,0.0905,0.9963,0.27,0.9664,0.2464,,,,,,,,,,,,,,,,,,,,,0,51.9,1540.2,0.0,1592.5
14,0.4714,100,100,3491,0,100,74,67,422,0,0,1483,0,0,5,713,5,0,0,0.0334,0.095,,67,0,14,19,0,0,98,0,0.0193,67,3424,0.0326,3,15,1872,57944,0.8289,25,0.0939,0.9959,0.2803,0.9804,0.2503,0.53,0.55,0.01,0.6,0.8833,0.01,0.0,0.0,0.0841,0.8017,0.175,0.0704,0.8746,25.8167,0.53,0.0,0.06,0.1,0.02,0.29,0,48.4,1522.1,537.2,2108.1
15,0.4429,100,100,3659,0,100,71,64,399,0,0,1395,3,5,7,818,9,0,0,0.0354,0.1049,29.0,64,0,13,23,0,0,94,0,0.0014,64,3595,0.0338,2,16,1972,61603,0.8391,25,0.0965,0.9959,0.2882,0.9664,0.2448,,,,,,,,,,,,,,,,,,,,,0,55.1,1619.3,0.0,1674.8
