iter,beta,m,episodes,steps,skipped,pinned,reached_standoff,reached_grasp,reach_steps,omg_fail,goal_switch,expert_steps,policy_closed,policy_close_cmds,dropped_tail,dart,dart_env_done,dart_reach,dart_reject,mean_min_pos,mean_min_rot,mean_policy_close_step,c_close_label,c_policy_close,c_max_steps,c_env_done,c_no_labels,c_omg_fail0,revisits,grasp_mismatch,max_grasp_drift,close_labels,approach_labels,mean_label_pos,tiny_labels,aggregate_files,D_episodes,D_steps,D_dagger_frac,epochs,train_loss,train_grip_acc,val_loss,val_grip_acc,best_val_loss,aux_pos_mm,aux_rot_deg,aux_pm_mm,success_rate,grasp_rate,near_rate,close_rate,close_success_rate,chance_rate,missed_rate,miss_given_chance,box_chance_rate,box_taken_rate,box_missed_rate,miss_given_box,mean_box_steps,mean_box_frac,eval_min_pos,eval_min_rot,mean_dist,mean_pos_err,mean_rot_err,mean_close_step,f_grasp_ok,f_grasp_miss,f_no_release,f_drop,f_timeout,f_human_contact,is_best,collect_s,train_s,eval_s,wall_s
0,1.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,472,9912,0.0,100,0.0438,0.9986,0.3627,0.9748,0.2245,39.5879,15.9662,60.0684,0.53,0.52,0.04,0.62,0.8548,0.05,0.0,0.0,0.64,0.8438,0.16,0.25,2.0156,0.6047,0.0872,0.8101,0.1652,0.0752,0.8988,21.1935,0.53,0.0,0.07,0.09,0.0,0.31,1,,,,0.0
1,1.0,100,100,3445,0,100,77,72,474,0,0,2421,0,0,8,837,6,123,51,0.039,0.1194,,72,0,14,14,0,0,0,0,0.0,72,3373,0.0337,0,2,572,13357,0.2579,25,0.1125,0.9967,0.2759,0.9832,0.2406,39.2004,18.545,58.7304,0.57,0.57,0.02,0.66,0.8636,0.02,0.0,0.0,0.55,0.9091,0.07,0.1273,1.7818,0.5512,0.0814,0.8378,0.1676,0.0718,0.899,21.6818,0.57,0.0,0.02,0.14,0.02,0.25,1,76.4,729.6,655.6,1463.0
2,0.9667,100,100,3601,0,100,81,73,498,0,0,2406,0,0,7,941,5,113,45,0.0365,0.0872,,73,0,14,13,0,0,22,0,0.0028,73,3528,0.034,1,3,672,16958,0.4155,25,0.1245,0.996,0.2523,0.9832,0.23,35.9086,18.6239,54.3619,0.63,0.62,0.03,0.8,0.7875,0.04,0.01,0.25,0.51,0.9216,0.07,0.1373,1.9608,0.522,0.0819,0.8164,0.1621,0.0779,0.8549,21.3375,0.63,0.0,0.08,0.15,0.0,0.14,1,73.1,465.2,625.7,1165.0
3,0.9333,100,100,3344,0,100,79,72,473,0,0,2209,0,0,11,834,6,119,45,0.0363,0.1189,,72,0,9,19,0,0,40,0,0.0169,72,3272,0.0342,0,4,772,20302,0.5118,25,0.1287,0.9964,0.2763,0.9832,0.2609,37.0568,18.9042,55.415,0.58,0.58,0.0,0.73,0.7945,0.0,0.0,,0.5,0.92,0.06,0.12,1.66,0.4661,0.087,0.7963,0.1667,0.0803,0.887,22.2192,0.58,0.0,0.08,0.18,0.01,0.15,0,69.7,568.2,639.4,1278.3
4,0.9,100,100,3557,0,100,80,73,482,0,0,2248,0,0,7,922,6,115,82,0.0325,0.1041,,73,0,13,14,0,0,53,0,0.0,73,3484,0.0338,0,5,872,23859,0.5846,25,0.1361,0.9959,0.2912,0.9832,0.2621,37.3039,18.9747,55.1036,0.47,0.45,0.0,0.62,0.7581,0.01,0.01,1.0,0.24,1.0,0.01,0.0417,1.5417,0.3035,0.1019,0.7972,0.1743,0.0959,0.9973,22.2258,0.47,0.0,0.09,0.32,0.0,0.12,0,66.5,637.8,614.8,1320.0
5,0.8667,100,100,3477,0,100,84,81,533,0,0,2140,0,0,8,870,2,123,61,0.0265,0.0808,,81,0,9,10,0,0,50,0,0.0158,81,3396,0.0338,0,6,972,27336,0.6374,25,0.1401,0.9962,0.3154,0.9804,0.2674,39.4327,19.6288,57.7169,0.69,0.71,0.02,0.88,0.7841,0.02,0.0,0.0,0.55,0.9818,0.06,0.1091,1.4545,0.5171,0.0796,0.8028,0.1616,0.0778,0.8472,22.1932,0.69,0.01,0.11,0.11,0.0,0.08,1,75.8,736.6,645.1,1459.2
6,0.8333,100,100,3637,0,100,74,66,441,0,0,2138,0,0,7,948,9,102,70,0.0452,0.1283,,66,0,17,17,0,0,76,0,0.0169,66,3571,0.0337,0,7,1072,30973,0.68,25,0.139,0.9963,0.3145,0.9804,0.2862,39.6379,20.4854,58.9947,0.7,0.7,0.01,0.81,0.8642,0.01,0.0,0.0,0.64,0.9219,0.08,0.125,1.875,0.6284,0.0797,0.7718,0.1647,0.0785,0.8402,22.5062,0.7,0.01,0.07,0.09,0.01,0.12,1,77.8,894.4,663.2,1636.5
7,0.8,100,100,3715,0,100,80,73,485,0,0,2106,1,1,7,994,0,107,82,0.0418,0.0889,37.0,73,0,19,8,0,0,85,0,0.005,73,3642,0.0341,1,8,1172,34688,0.7143,25,0.1465,0.9953,0.3095,0.9776,0.279,37.255,21.2075,54.4216,0.71,0.72,0.04,0.9,0.7889,0.04,0.0,0.0,0.65,0.9692,0.04,0.0615,2.1385,0.6251,0.0809,0.7586,0.1662,0.0801,0.8674,22.8667,0.71,0.0,0.06,0.17,0.0,0.06,1,76.3,903.1,665.7,1646.3
8,0.7667,100,100,3293,0,100,76,75,469,0,0,1860,1,1,11,837,8,93,51,0.0306,0.1157,31.0,75,0,5,20,0,0,84,0,0.0169,75,3218,0.0345,1,9,1272,37981,0.739,25,0.1463,0.9956,0.2925,0.9832,0.2712,35.7,21.9705,53.7805,0.81,0.8,0.01,0.88,0.9205,0.03,0.01,0.3333,0.74,0.9459,0.04,0.0541,2.2432,0.6771,0.0758,0.7257,0.1615,0.0746,0.8289,23.0455,0.81,0.0,0.04,0.05,0.0,0.1,1,67.1,1097.2,683.3,1848.7
9,0.7333,100,100,3709,0,100,71,62,418,0,0,1928,0,0,9,1006,6,100,47,0.0444,0.137,,62,0,22,16,0,0,85,0,0.0,62,3647,0.0338,1,10,1372,41690,0.7622,25,0.1503,0.9943,0.3019,0.9832,0.2932,38.4272,21.1185,54.7398,0.75,0.75,0.02,0.8,0.9375,0.03,0.0,0.0,0.67,0.9552,0.04,0.0597,1.7761,0.6204,0.0838,0.7167,0.1672,0.0778,0.8445,23.425,0.75,0.0,0.02,0.13,0.0,0.1,0,71.1,1209.4,669.1,1950.8
