iter,beta,m,episodes,steps,skipped,pinned,reached_standoff,reached_grasp,reach_steps,settle_steps,omg_fail,goal_switch,expert_steps,policy_closed,policy_close_cmds,dropped_tail,dart,dart_env_done,dart_reach,dart_reject,dart_sigma_trace,dart_noise_steps,dart_alpha,mean_min_pos,mean_min_rot,mean_policy_close_step,c_close_label,c_policy_close,c_max_steps,c_env_done,c_no_labels,c_omg_fail0,c_success_rate,co_grasp_ok,co_grasp_miss,co_no_release,co_drop,co_human_contact,co_bench_timeout,co_timeout,c_reach_pos,c_reach_rot,revisits,grasp_mismatch,max_grasp_drift,close_labels,approach_labels,mean_label_pos,tiny_labels,aggregate_files,D_episodes,D_steps,D_dagger_frac,epochs,train_loss,train_grip_acc,val_loss,val_grip_acc,best_val_loss,aux_pos_mm,aux_rot_deg,aux_pm_mm,success_rate,grasp_rate,near_rate,close_rate,close_success_rate,chance_rate,missed_rate,miss_given_chance,box_chance_rate,box_taken_rate,box_missed_rate,miss_given_box,mean_box_steps,mean_box_frac,mean_reach_pos_err,mean_reach_rot_err,box_after_rate,eval_min_pos,eval_min_rot,mean_dist,mean_pos_err,mean_rot_err,mean_close_step,f_grasp_ok,f_grasp_miss,f_no_release,f_drop,f_timeout,f_human_contact,is_best,collect_s,train_s,eval_s,wall_s
0,1.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,472,11562,0.0,100,0.0836,0.9952,0.3963,0.9661,0.2637,69.8502,18.9412,102.8308,0.4,0.4,0.0,0.72,0.5556,0.01,0.01,1.0,0.15,0.2667,0.13,0.8667,8.6,0.14,0.0841,1.0491,0.5,0.1099,0.8482,0.1954,0.1197,1.049,27.6806,0.4,0.01,0.03,0.22,0.14,0.2,1,,,,0.0
1,0.75,100,100,3343,0,100,81,81,243,81,0,0,1815,1,4,3,873,5,0,0,0.013653,0,3.0,0.0299,0.1092,41.0,81,0,11,8,0,0,0.69,0.69,0.01,0.08,0.1,0.01,0.0,0.11,0.0104,0.0107,0,0,0.0,81,3262,0.0334,0,2,572,14905,0.2243,25,0.106,0.9935,0.3509,0.9688,0.2727,60.6668,20.2497,87.5693,0.33,0.3,0.0,0.65,0.5077,0.0,0.0,,0.03,0.0,0.03,1.0,3.0,0.0355,0.089,1.0451,0.4154,0.1154,0.7885,0.1985,0.1195,1.0448,26.3692,0.33,0.01,0.09,0.41,0.03,0.13,0,66.8,362.2,585.1,1014.3
2,0.75,100,100,3449,0,100,77,75,232,77,0,0,1876,1,2,6,966,5,0,0,0.017469,0,3.0,0.0344,0.0993,29.0,75,0,12,13,0,0,0.66,0.66,0.0,0.06,0.13,0.03,0.0,0.12,0.0122,0.0126,22,0,0.0034,75,3374,0.0346,2,3,672,18354,0.3701,25,0.1052,0.9959,0.3564,0.9648,0.2831,58.6665,20.3196,84.9086,0.36,0.3,0.0,0.67,0.5373,0.0,0.0,,0.02,0.0,0.02,1.0,5.5,0.0282,0.0896,1.0724,0.3134,0.1106,0.7541,0.2066,0.119,1.0722,28.0448,0.36,0.02,0.16,0.4,0.0,0.06,0,65.0,442.9,598.8,1106.9
3,0.75,100,100,3320,0,100,78,75,231,78,0,0,1837,2,2,10,898,1,0,0,0.012834,0,3.0,0.032,0.1139,28.5,75,0,12,13,0,0,0.71,0.71,0.0,0.03,0.12,0.02,0.0,0.12,0.0106,0.0105,40,1,0.0207,75,3245,0.0331,2,4,772,21674,0.4665,25,0.1038,0.9969,0.4007,0.9661,0.2855,58.0817,22.5923,85.3063,0.26,0.25,0.0,0.48,0.5417,0.0,0.0,,0.03,0.3333,0.03,1.0,2.0,0.0302,0.0933,1.0614,0.4375,0.1267,0.7571,0.1933,0.1259,1.0612,28.0,0.26,0.0,0.08,0.52,0.05,0.09,0,63.0,520.9,573.0,1157.1
4,0.75,100,100,3479,0,100,78,76,230,76,0,0,1861,1,1,6,991,4,0,0,0.013054,0,3.0,0.0324,0.1062,36.0,76,0,12,12,0,0,0.67,0.67,0.0,0.08,0.11,0.02,0.0,0.12,0.0116,0.0098,53,0,0.0,76,3403,0.0339,1,5,872,25153,0.5403,25,0.1017,0.9979,0.4196,0.9596,0.3095,58.1665,24.2108,85.9641,0.6,0.57,0.01,0.95,0.6316,0.02,0.01,0.5,0.0,,0.0,,,0.0004,0.0855,0.9407,0.4632,0.1093,0.784,0.208,0.1189,0.9406,24.1368,0.6,0.01,0.12,0.2,0.04,0.03,1,63.7,607.5,631.8,1303.5
5,0.75,100,100,3368,0,100,84,82,249,83,0,0,1819,1,1,6,923,4,0,0,0.011975,0,3.0,0.0238,0.078,21.0,82,0,7,11,0,0,0.78,0.78,0.0,0.03,0.11,0.01,0.0,0.07,0.0107,0.0114,50,0,0.0,82,3286,0.0337,1,6,972,28521,0.5946,25,0.0978,0.9987,0.4178,0.9557,0.3062,59.9655,25.1665,86.0495,0.56,0.54,0.0,0.94,0.5957,0.0,0.0,,0.0,,0.0,,,0.0024,0.0883,1.0077,0.3298,0.115,0.8442,0.2143,0.1215,1.0077,23.3511,0.56,0.0,0.22,0.14,0.02,0.06,0,62.7,692.9,606.3,1362.1
6,0.75,100,100,3441,0,100,70,68,207,69,0,0,1849,1,1,9,948,6,0,0,0.012064,0,3.0,0.0407,0.1522,29.0,68,0,14,18,0,0,0.56,0.56,0.0,0.09,0.21,0.0,0.0,0.14,0.0123,0.0118,76,1,0.0207,68,3373,0.0338,0,7,1072,31962,0.6383,25,0.0952,0.9989,0.4201,0.957,0.313,59.9801,26.0692,85.8681,0.46,0.42,0.02,0.74,0.6216,0.02,0.02,1.0,0.06,0.3333,0.05,0.8333,9.0,0.0643,0.0717,0.8458,0.4865,0.1027,0.7558,0.2028,0.1006,0.8458,26.1622,0.46,0.0,0.09,0.26,0.07,0.12,0,63.5,792.8,680.0,1536.9
7,0.75,100,100,3469,0,100,75,73,222,74,0,0,1856,0,0,9,989,2,0,0,0.012978,0,3.0,0.0413,0.1297,,73,0,15,12,0,0,0.65,0.65,0.0,0.07,0.1,0.03,0.0,0.15,0.0108,0.0112,85,0,0.0,73,3396,0.0347,1,8,1172,35431,0.6737,25,0.0947,0.9993,0.4459,0.9583,0.3398,61.353,26.8902,88.0549,0.64,0.55,0.01,0.91,0.7033,0.01,0.01,1.0,0.0,,0.0,,,0.0088,0.0803,0.9498,0.3956,0.1089,0.7872,0.2156,0.1114,0.9499,23.2857,0.64,0.0,0.14,0.14,0.04,0.04,1,68.3,877.3,616.0,1562.1
8,0.75,100,100,3165,0,100,76,76,229,76,0,0,1725,4,4,9,881,6,0,0,0.015305,0,3.0,0.0349,0.132,31.0,76,0,6,18,0,0,0.65,0.65,0.01,0.08,0.18,0.02,0.0,0.06,0.0121,0.0114,84,1,0.0207,76,3089,0.0355,1,9,1272,38596,0.7004,25,0.0934,0.9995,0.4414,0.9596,0.347,60.4855,28.6876,86.5769,0.5,0.45,0.02,0.88,0.5682,0.03,0.01,0.3333,0.05,0.6,0.04,0.8,3.6,0.0561,0.0814,0.8901,0.3068,0.1073,0.7185,0.2067,0.1109,0.89,25.1136,0.5,0.01,0.21,0.15,0.03,0.1,0,62.1,970.5,645.7,1678.9
9,0.75,100,100,3347,0,100,68,66,201,67,0,0,1781,1,1,10,945,9,0,0,0.011934,0,3.0,0.0391,0.1577,13.0,66,0,13,21,0,0,0.61,0.61,0.0,0.03,0.2,0.03,0.0,0.13,0.0115,0.0115,85,0,0.0,66,3281,0.036,7,10,1372,41943,0.7243,25,0.0915,0.9995,0.5198,0.9518,0.33,59.6377,29.0931,85.002,0.5,0.44,0.02,0.85,0.5882,0.02,0.01,0.5,0.02,0.0,0.01,0.5,2.0,0.0216,0.0818,0.9287,0.3882,0.1068,0.7446,0.2081,0.113,0.9287,23.5882,0.5,0.0,0.19,0.21,0.04,0.06,0,63.3,1044.6,625.0,1734.0
