iter,beta,m,episodes,steps,skipped,pinned,reached_standoff,reached_grasp,reach_steps,omg_fail,goal_switch,expert_steps,policy_closed,policy_close_cmds,dropped_tail,mean_min_pos,mean_min_rot,mean_policy_close_step,c_close_label,c_policy_close,c_max_steps,c_env_done,c_no_labels,c_omg_fail0,revisits,grasp_mismatch,max_grasp_drift,close_labels,approach_labels,mean_label_pos,tiny_labels,aggregate_files,D_episodes,D_steps,D_dagger_frac,epochs,train_loss,train_grip_acc,val_loss,val_grip_acc,best_val_loss,success_rate,grasp_rate,near_rate,close_rate,close_success_rate,chance_rate,missed_rate,miss_given_chance,eval_min_pos,eval_min_rot,mean_dist,mean_pos_err,mean_rot_err,mean_close_step,f_grasp_ok,f_grasp_miss,f_no_release,f_drop,f_timeout,f_human_contact,is_best,collect_s,train_s,eval_s,wall_s
0,1.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,472,9912,0.0,100,0.0113,0.9982,0.1889,0.9832,0.1197,0.51,0.51,0.01,0.64,0.7969,0.01,0.0,0.0,0.0907,0.481,0.1667,0.0903,0.8477,25.7344,0.51,0.0,0.11,0.15,0.06,0.17,1,,,,0.0
1,0.75,100,100,2480,0,100,85,86,510,0,0,1908,2,3,11,0.0191,0.101,9.5,86,0,0,14,0,0,0,0,0.0,86,2394,0.0327,0,2,572,12392,0.2001,25,0.0637,0.9913,0.1503,0.9748,0.1467,,,,,,,,,,,,,,,,,,,,,0,599.9,240.6,0.0,840.7
2,0.7036,100,100,2589,0,100,91,91,546,0,0,1905,1,4,6,0.014,0.0419,25.0,91,0,0,9,0,0,22,0,0.0,91,2498,0.0328,0,3,672,14981,0.3384,25,0.0713,0.9911,0.1767,0.9776,0.1454,0.46,0.42,0.0,0.54,0.8519,0.0,0.0,,0.0829,0.7013,0.1788,0.0841,0.9099,24.2963,0.46,0.0,0.05,0.25,0.03,0.21,0,613.0,301.7,472.5,1387.5
3,0.6571,100,100,2570,0,100,89,88,551,0,0,1809,0,0,11,0.0157,0.0438,,88,0,1,11,0,0,40,0,0.0,88,2482,0.0319,1,4,772,17551,0.4352,25,0.0773,0.9902,0.1863,0.9776,0.1653,,,,,,,,,,,,,,,,,,,,,0,621.2,360.0,0.0,981.5
4,0.6107,100,100,2657,0,100,90,90,540,0,0,1733,1,1,6,0.0146,0.0426,14.0,90,0,0,10,0,0,53,0,0.0,90,2567,0.0313,0,5,872,20208,0.5095,25,0.0759,0.992,0.1852,0.9804,0.1787,0.41,0.39,0.03,0.47,0.8723,0.03,0.0,0.0,0.0941,0.5708,0.1929,0.0765,0.7865,27.1702,0.41,0.01,0.02,0.22,0.08,0.26,0,630.4,424.1,538.2,1593.1
5,0.5643,100,100,2601,0,100,96,96,576,0,0,1610,2,2,3,0.0093,0.025,22.0,96,0,0,4,0,0,50,0,0.0,96,2505,0.0309,2,6,972,22809,0.5654,25,0.0773,0.9917,0.1913,0.9804,0.1913,,,,,,,,,,,,,,,,,,,,,0,617.0,539.6,0.0,1156.9
6,0.5179,100,100,2718,0,100,94,93,577,0,0,1584,0,0,3,0.0107,0.0358,,93,0,1,6,0,0,76,0,0.0,93,2625,0.0309,0,7,1072,25527,0.6117,25,0.0771,0.9935,0.2252,0.9832,0.2023,0.35,0.36,0.0,0.43,0.814,0.0,0.0,,0.0897,0.6046,0.1805,0.0781,0.7669,27.1163,0.35,0.0,0.08,0.14,0.06,0.37,0,649.1,559.7,543.5,1752.6
7,0.4714,100,100,2761,0,100,85,84,505,0,0,1455,2,4,4,0.0205,0.0651,28.0,84,0,0,16,0,0,85,0,0.0051,84,2677,0.0318,1,8,1172,28288,0.6496,25,0.0712,0.9947,0.233,0.9776,0.2067,,,,,,,,,,,,,,,,,,,,,0,665.7,628.7,0.0,1294.7
8,0.425,100,100,2699,0,100,88,88,522,0,0,1358,0,0,8,0.0158,0.0542,,88,0,0,12,0,0,84,0,0.0048,88,2611,0.0317,2,9,1272,30987,0.6801,25,0.0717,0.9938,0.2583,0.9804,0.234,0.46,0.47,0.03,0.54,0.8519,0.04,0.02,0.5,0.0805,0.5719,0.1646,0.0733,0.846,29.2778,0.46,0.0,0.05,0.14,0.08,0.27,0,646.0,656.8,602.1,1905.3
9,0.3786,100,100,2830,0,100,86,87,510,0,0,1287,3,6,5,0.018,0.0498,23.67,87,0,2,11,0,0,85,0,0.0,87,2743,0.0317,0,10,1372,33817,0.7069,25,0.0706,0.995,0.2805,0.9832,0.2409,,,,,,,,,,,,,,,,,,,,,0,679.4,710.1,0.0,1392.5
