iter,beta,m,episodes,steps,skipped,pinned,reached_standoff,reached_grasp,reach_steps,settle_steps,omg_fail,goal_switch,expert_steps,policy_closed,policy_close_cmds,dropped_tail,dart,dart_env_done,dart_reach,dart_reject,dart_sigma_trace,dart_noise_steps,dart_alpha,mean_min_pos,mean_min_rot,mean_policy_close_step,c_close_label,c_policy_close,c_max_steps,c_env_done,c_no_labels,c_omg_fail0,c_success_rate,co_grasp_ok,co_grasp_miss,co_no_release,co_drop,co_human_contact,co_bench_timeout,co_timeout,c_reach_pos,c_reach_rot,revisits,grasp_mismatch,max_grasp_drift,close_labels,approach_labels,mean_label_pos,tiny_labels,aggregate_files,D_episodes,D_steps,D_dagger_frac,epochs,train_loss,train_grip_acc,val_loss,val_grip_acc,best_val_loss,aux_pos_mm,aux_rot_deg,aux_pm_mm,success_rate,grasp_rate,near_rate,close_rate,close_success_rate,chance_rate,missed_rate,miss_given_chance,box_chance_rate,box_taken_rate,box_missed_rate,miss_given_box,mean_box_steps,mean_box_frac,mean_reach_pos_err,mean_reach_rot_err,box_after_rate,eval_min_pos,eval_min_rot,mean_dist,mean_pos_err,mean_rot_err,mean_close_step,cond_track,cond_ee_spread,cond_goal_spread,retry_at_1,retry_at_2,retry_at_3,retry_at_4,succ_g0,succ_g1,succ_g2,succ_g3,near_g0,near_g1,near_g2,near_g3,f_grasp_ok,f_grasp_miss,f_no_release,f_drop,f_timeout,f_human_contact,is_best,collect_s,train_s,eval_s,wall_s
1,0.75,200,198,6621,2,198,123,110,722,0,0,0,3550,6,12,41,1773,14,178,97,0.051,0,3.0,0.0503,0.1983,10.83,110,0,23,65,0,0,0.4798,0.4798,0.0101,0.0354,0.298,0.0606,0.0,0.1162,,,0,0,0.0,110,6511,0.0389,5,2,1730,38793,0.1707,12,0.0361,0.9999,0.0521,1.0,0.0521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,119.6,552.3,0.0,672.7
2,0.75,200,195,6924,5,195,128,114,745,0,0,0,3727,0,0,27,1874,17,179,80,0.053567,0,3.0,0.0481,0.21,,114,0,28,53,0,0,0.5128,0.5128,0.0,0.0359,0.2103,0.0974,0.0,0.1436,,,36,0,0.0,114,6810,0.0383,3,3,1925,45717,0.2963,12,0.043,0.9999,0.0642,1.0,0.0642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,124.6,557.8,0.0,682.9
3,0.75,200,198,7197,2,198,135,105,764,0,0,0,3869,3,4,29,1934,18,209,87,0.051892,0,3.0,0.0427,0.1964,11.67,105,0,35,58,0,0,0.4394,0.4394,0.0,0.0556,0.2525,0.0808,0.0,0.1768,,,50,0,0.0,105,7092,0.0381,2,4,2123,52914,0.392,12,0.0459,0.9999,0.0764,1.0,0.0764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,131.9,713.2,0.0,845.8
4,0.75,200,199,7267,1,199,130,115,765,0,0,0,3889,1,2,31,1982,15,192,88,0.045278,0,3.0,0.0548,0.1914,34.0,115,0,33,51,0,0,0.4925,0.4925,0.0,0.0402,0.2412,0.0603,0.0,0.1658,,,68,0,0.0,115,7152,0.0381,6,5,2322,60181,0.4654,12,0.0466,0.9999,0.0847,1.0,0.0847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,138.3,889.1,0.0,1027.8
5,0.75,200,199,7188,1,199,145,128,887,0,0,0,3875,0,0,20,1835,17,251,91,0.058116,0,3.0,0.0421,0.1616,,128,0,30,41,0,0,0.5427,0.5427,0.005,0.0402,0.201,0.0603,0.0,0.1508,,,63,0,0.018,128,7060,0.0386,4,6,2521,67369,0.5225,12,0.0477,1.0,0.091,1.0,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,127.3,1015.1,0.0,1142.9
6,0.75,200,199,7264,1,199,130,111,754,0,0,0,3924,2,3,28,1945,18,188,100,0.043089,0,3.0,0.0512,0.1862,16.5,111,0,34,54,0,0,0.4774,0.4774,0.005,0.0452,0.2412,0.0603,0.0,0.1709,,,99,0,0.0,111,7153,0.038,6,7,2720,74633,0.5689,12,0.0473,0.9999,0.0995,1.0,0.0994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,127.0,1239.4,0.0,1367.3
7,0.75,200,199,7366,1,199,110,96,634,0,0,0,3864,0,0,29,2118,19,162,100,0.048185,0,3.0,0.0711,0.2197,,96,0,45,58,0,0,0.4121,0.4121,0.005,0.0653,0.2312,0.0603,0.0,0.2261,,,99,0,0.0056,96,7270,0.0381,6,8,2919,81999,0.6077,12,0.0495,0.9999,0.1051,1.0,0.1051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,130.0,1408.1,0.0,1538.5
8,0.75,200,199,7293,1,199,140,117,800,0,0,0,3932,0,0,30,1955,18,190,71,0.050551,0,3.0,0.0454,0.1697,,117,0,27,55,0,0,0.4673,0.4673,0.0,0.0503,0.2915,0.0553,0.0,0.1357,,,127,0,0.0,117,7176,0.0374,8,9,3118,89292,0.6397,12,0.0486,0.9999,0.1099,1.0,0.1099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,126.5,1471.0,0.0,1597.9
9,0.75,200,200,7194,0,200,129,117,766,0,0,0,3836,0,0,31,1936,10,181,52,0.054668,0,3.0,0.0542,0.2047,,117,0,35,48,0,0,0.505,0.505,0.005,0.03,0.24,0.045,0.0,0.175,,,148,0,0.0,117,7077,0.0386,3,10,3318,96486,0.6666,12,0.0485,0.9999,0.1132,1.0,0.1132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,125.6,1658.7,0.0,1784.9
10,0.75,200,200,7005,0,200,122,106,709,0,0,0,3722,0,0,31,1891,20,161,58,0.057792,0,3.0,0.052,0.2117,,106,0,37,57,0,0,0.435,0.435,0.0,0.04,0.295,0.045,0.0,0.185,,,140,0,0.008,106,6899,0.0394,1,11,3518,103491,0.6891,12,0.0492,0.9999,0.1187,1.0,0.1187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,131.2,2120.9,0.0,2253.2
