iter,beta,m,episodes,steps,skipped,pinned,reached_standoff,reached_grasp,reach_steps,settle_steps,omg_fail,goal_switch,expert_steps,policy_closed,policy_close_cmds,dropped_tail,dart,dart_env_done,dart_reach,dart_reject,dart_sigma_trace,dart_noise_steps,dart_alpha,mean_min_pos,mean_min_rot,mean_policy_close_step,c_close_label,c_policy_close,c_max_steps,c_env_done,c_no_labels,c_omg_fail0,c_success_rate,co_grasp_ok,co_grasp_miss,co_no_release,co_drop,co_human_contact,co_bench_timeout,co_timeout,c_reach_pos,c_reach_rot,revisits,grasp_mismatch,max_grasp_drift,close_labels,approach_labels,mean_label_pos,tiny_labels,aggregate_files,D_episodes,D_steps,D_dagger_frac,epochs,train_loss,train_grip_acc,val_loss,val_grip_acc,best_val_loss,aux_pos_mm,aux_rot_deg,aux_pm_mm,success_rate,grasp_rate,near_rate,close_rate,close_success_rate,chance_rate,missed_rate,miss_given_chance,box_chance_rate,box_taken_rate,box_missed_rate,miss_given_box,mean_box_steps,mean_box_frac,mean_reach_pos_err,mean_reach_rot_err,box_after_rate,eval_min_pos,eval_min_rot,mean_dist,mean_pos_err,mean_rot_err,mean_close_step,cond_track,cond_ee_spread,cond_goal_spread,retry_at_1,retry_at_2,retry_at_3,retry_at_4,succ_g0,succ_g1,succ_g2,succ_g3,near_g0,near_g1,near_g2,near_g3,f_grasp_ok,f_grasp_miss,f_no_release,f_drop,f_timeout,f_human_contact,is_best,collect_s,train_s,eval_s,wall_s
1,0.75,358,358,11957,0,358,183,154,1049,0,0,0,6413,3,4,103,3285,36,257,126,0.036235,0,3.0,0.0715,0.3104,27.0,154,0,41,163,0,0,0.3603,0.3603,0.0,0.0419,0.3966,0.0866,0.0,0.1145,,,0,0,0.0,154,11803,0.0384,4,2,1445,32343,0.3697,12,0.1353,0.9928,0.1819,0.993,0.1819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2743.7,523.1,0.0,3266.8
2,0.75,352,352,12127,0,352,200,170,1164,0,0,0,6526,1,1,63,3322,39,297,172,0.023202,0,3.0,0.0715,0.2755,20.0,170,0,49,133,0,0,0.4006,0.4006,0.0,0.0483,0.3182,0.0938,0.0,0.1392,,,110,0,0.0086,170,11957,0.0378,3,3,1797,44470,0.5416,12,0.1345,0.9944,0.1864,0.9965,0.1849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2750.4,714.7,0.0,3465.1
3,0.75,355,355,12259,0,355,203,166,1171,0,0,0,6595,1,1,81,3300,44,298,137,0.02288,0,3.0,0.065,0.2747,47.0,166,0,38,151,0,0,0.3972,0.3972,0.0056,0.0366,0.3521,0.1014,0.0,0.107,,,188,0,0.004,166,12093,0.0385,5,4,2152,56729,0.6406,12,0.1305,0.9961,0.2165,0.9907,0.2113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2783.8,910.8,0.0,3694.6
4,0.75,354,354,12204,0,354,184,154,1046,0,0,0,6506,2,2,75,3373,45,242,108,0.020382,0,3.0,0.0738,0.2789,36.5,154,0,56,144,0,0,0.3785,0.3785,0.0,0.0367,0.3164,0.1102,0.0,0.1582,,,248,0,0.0176,154,12050,0.0373,4,5,2506,68933,0.7043,12,0.1246,0.997,0.224,0.9907,0.2199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2797.8,1103.7,0.0,3901.6
5,0.75,349,349,11656,0,349,184,150,1040,0,0,0,6330,6,7,87,3132,44,256,119,0.021044,0,3.0,0.0708,0.2956,29.5,150,0,44,155,0,0,0.3467,0.3467,0.0,0.0344,0.3926,0.1003,0.0,0.1261,,,286,0,0.0086,150,11506,0.0388,4,6,2855,80589,0.747,12,0.1228,0.9976,0.2306,0.9918,0.2278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2701.3,1287.1,0.0,3988.4
6,0.75,175,175,6106,0,175,81,69,469,0,0,0,3253,0,0,32,1694,31,121,48,0.018853,0,3.0,0.0771,0.3027,,69,0,28,78,0,0,0.3029,0.3029,0.0,0.0514,0.3829,0.1029,0.0,0.16,,,151,0,0.006,69,6037,0.0383,1,7,3030,86695,0.7649,12,0.1197,0.9979,0.2327,0.9907,0.2304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1415.4,1383.7,0.0,2799.1
7,0.75,182,182,6397,0,182,107,79,575,0,0,0,3416,1,1,38,1822,27,138,62,0.021882,0,3.0,0.0686,0.2825,48.0,79,0,33,70,0,0,0.3791,0.3791,0.0,0.022,0.3407,0.0769,0.0,0.1813,,,156,0,0.0169,79,6318,0.0383,1,8,3212,93092,0.781,12,0.1131,0.9988,0.2405,0.9895,0.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1456.7,1486.4,0.0,2943.1
8,0.75,175,175,6148,0,175,93,74,520,0,0,0,3287,0,0,28,1721,31,121,45,0.024515,0,3.0,0.0744,0.3084,,74,0,35,66,0,0,0.3886,0.3886,0.0,0.0171,0.3029,0.0914,0.0,0.2,,,163,0,0.0086,74,6074,0.0376,0,9,3387,99240,0.7946,12,0.1097,0.999,0.246,0.9895,0.2377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1407.5,1582.8,0.0,2990.4
9,0.75,178,178,6478,0,178,100,82,560,0,0,0,3505,1,1,38,1759,19,140,76,0.016711,0,3.0,0.071,0.2729,29.0,82,0,29,67,0,0,0.382,0.382,0.0056,0.0393,0.3315,0.0787,0.0,0.1629,,,170,0,0.0052,82,6396,0.0374,4,10,3565,105718,0.8072,12,0.1058,0.9992,0.265,0.986,0.2497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1472.7,1684.8,0.0,3157.5
10,0.75,178,178,6245,0,178,94,76,532,0,0,0,3350,0,0,37,1752,12,122,57,0.019117,0,3.0,0.0838,0.3133,,76,0,36,66,0,0,0.3539,0.3539,0.0,0.0281,0.309,0.1067,0.0,0.2022,,,166,0,0.0176,76,6169,0.0368,1,11,3743,111963,0.8179,12,0.1069,0.9993,0.2638,0.9895,0.2567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1424.4,1784.4,0.0,3208.8
