iter,c_min_pos_b0,c_min_rot_b0,c_min_pos_b1,c_min_rot_b1,c_min_pos_b2,c_min_rot_b2,c_min_pos_b3,c_min_rot_b3,c_min_pos_b4,c_min_rot_b4,c_min_pos_b5,c_min_rot_b5
1,0.0432,0.2468,0.0698,0.2136,0.0486,0.1439,0.0625,0.4155,0.0546,0.2504,0.0294,0.1138
2,0.0406,0.1458,0.0552,0.2791,0.0466,0.1793,0.0663,0.3197,0.0408,0.2575,0.0128,0.0176
3,0.0271,0.0985,0.0668,0.3127,0.0262,0.1648,0.0373,0.1568,0.0388,0.1328,0.0214,0.1375
4,0.0349,0.2441,0.0771,0.2854,0.0359,0.12,0.0398,0.2148,0.0924,0.3888,0.0349,0.2187
5,0.0341,0.22,0.0698,0.3029,0.0365,0.1506,0.087,0.4039,0.052,0.1621,0.0131,0.0428
6,0.0412,0.2201,0.0618,0.2623,0.04,0.1402,0.0455,0.1947,0.0669,0.1844,0.0474,0.1705
7,0.0505,0.1902,0.0645,0.2383,0.034,0.0628,0.0635,0.2725,0.0264,0.0904,0.0335,0.1451
8,0.0295,0.139,0.0694,0.3134,0.0448,0.126,0.0604,0.3624,0.0539,0.2823,0.0155,0.0441
9,0.0585,0.2126,0.0798,0.3036,0.0504,0.2274,0.0406,0.1735,0.039,0.1514,0.0266,0.1058
10,0.0418,0.1923,0.0892,0.3965,0.046,0.1591,0.0568,0.2381,0.1054,0.2063,0.0308,0.2504
11,0.0358,0.1963,0.085,0.333,0.0365,0.1439,0.0719,0.3146,0.0509,0.1292,0.0409,0.1682
12,0.0331,0.1098,0.0586,0.3053,0.0435,0.1637,0.0476,0.1984,0.0853,0.3876,0.0333,0.1832
13,0.0434,0.2119,0.0775,0.3663,0.0358,0.0978,0.0663,0.3522,0.064,0.2026,0.0456,0.2107
14,0.039,0.1807,0.0837,0.4051,0.0583,0.193,0.0506,0.2695,0.0846,0.2961,0.0368,0.161
15,0.0445,0.13,0.076,0.2886,0.0393,0.1669,0.0356,0.2765,0.0721,0.3733,0.0301,0.1227
16,0.0524,0.2575,0.0627,0.2573,0.0531,0.21,0.0719,0.2998,0.06,0.2539,0.0317,0.2388
17,0.0334,0.1717,0.0636,0.2407,0.0399,0.234,0.0571,0.2888,0.0519,0.2895,0.0503,0.2188
18,0.0473,0.2485,0.1087,0.3758,0.0315,0.174,0.0584,0.2433,0.0607,0.2397,0.0301,0.1177
19,0.045,0.1905,0.0517,0.1949,0.0593,0.1486,0.0526,0.2533,0.0963,0.4509,0.0284,0.1334
20,0.0407,0.187,0.0698,0.2585,0.056,0.257,0.0508,0.2196,0.0891,0.2771,0.0377,0.1043
21,0.0595,0.26,0.0628,0.2147,0.0373,0.1134,0.0721,0.2345,0.0596,0.3323,0.0434,0.1226
22,0.0329,0.1703,0.0696,0.1817,0.0491,0.1906,0.0405,0.2093,0.0558,0.3194,0.0154,0.0643
23,0.058,0.3144,0.0755,0.2559,0.0401,0.1964,0.0648,0.3433,0.0899,0.2552,0.0276,0.1504
24,0.046,0.2286,0.0631,0.2968,0.0688,0.2274,0.0533,0.3016,0.0499,0.121,0.0196,0.1038
25,0.0527,0.2568,0.0605,0.2036,0.0451,0.1953,0.0389,0.1858,0.0709,0.2553,0.0355,0.1785
