iter,buffer,beta,ei_hi,ei_lo,roll_succ,roll_len,roll_ret,critic_loss,q_mean,target_mean,actor_loss,pg_loss,bc_loss,grip_loss,aux_c,aux_a,lam,n_expert,roll_min_pos,roll_close,roll_skip,roll_miss,roll_timeout,roll_fail,exp_kept,exp_succ,eval_min_pos,eval_min_rot,eval_close,eval_miss,eval_timeout,eval_fail,q_pi,a_absmean,grip_logit,buf_pos,eval_succ,best_succ
0,334,0.5,24,22,0.3333,29.83,0.3333,0.004891292192041874,0.3645353317260742,0.35956937074661255,0.5766313672065735,-0.09993934631347656,0.05400151014328003,0.559963583946228,0.0048773810267448425,0.017208248376846313,0.34338849782943726,64,0.0158,0.333,5,0,4,0,5,0.6,,,,,,,0.29103875160217285,0.6419554948806763,2.1551871299743652,0.01497,,-1.0
1,703,0.4921,24,22,0.0,30.0,0.0,0.0073390379548072815,0.3348059058189392,0.3277820944786072,0.4217866361141205,-0.0996103286743164,0.06987281888723373,0.3738822042942047,0.009548593312501907,0.015538287349045277,0.33018526434898376,64,0.0253,0.0,4,0,3,0,9,1.0,,,,,,,0.3016800880432129,0.6512101292610168,2.086615562438965,0.01991,,-1.0
2,1063,0.4841,24,22,0.0,29.75,0.0,0.006491781212389469,0.38023948669433594,0.3573175370693207,0.3618072271347046,-0.09915397316217422,0.04308906942605972,0.3686208724975586,0.007870657369494438,0.012324422597885132,0.30931609869003296,64,0.0123,0.0,4,0,3,1,8,0.875,,,,,,,0.32055872678756714,0.6861733198165894,1.960045337677002,0.01976,,-1.0
3,1522,0.4762,24,22,0.1667,30.0,0.1667,0.005332585424184799,0.33072999119758606,0.3231351375579834,0.37006452679634094,-0.09941937029361725,0.028858095407485962,0.40668296813964844,0.0071330806240439415,0.010169431567192078,0.28736934065818787,64,0.0066,0.167,1,0,5,0,9,0.889,,,,,,,0.3459637463092804,0.7168314456939697,2.0071675777435303,0.01971,,-1.0
4,1946,0.4683,24,21,0.0,30.0,0.0,0.005066479090601206,0.33510881662368774,0.3297792375087738,0.4285459518432617,-0.09970497339963913,0.03940300643444061,0.43779101967811584,0.005131850019097328,0.023307813331484795,0.3240361213684082,64,0.0076,0.0,2,0,10,0,4,1.0,,,,,,,0.3076970875263214,0.6459954380989075,2.048938751220703,0.01747,,-1.0
5,2369,0.4603,24,21,0.0,29.62,0.0,0.004640492610633373,0.28721582889556885,0.2762451171875,0.8089434504508972,-0.09817875176668167,0.04031140357255936,0.8180981874465942,0.004113420378416777,0.01680242083966732,0.41744932532310486,64,0.014,0.0,2,0,7,1,6,0.833,,,,,,,0.23518723249435425,0.6643160581588745,2.1134026050567627,0.01646,,-1.0
6,2815,0.4524,24,21,0.1429,30.0,0.1429,0.01094119343906641,0.346996933221817,0.3564683794975281,0.37157097458839417,-0.09908661246299744,0.05159216374158859,0.3606904447078705,0.0076163397170603275,0.013565602712333202,0.3659227192401886,64,0.0116,0.143,1,0,6,0,8,0.875,,,,,,,0.2707856297492981,0.6393786668777466,2.0176281929016113,0.0167,,-1.0
7,3268,0.4444,24,21,0.0,30.0,0.0,0.004318918567150831,0.2944309413433075,0.2878504693508148,0.44548654556274414,-0.09884767234325409,0.03152170404791832,0.4732782244682312,0.005231777206063271,0.016025163233280182,0.38176795840263367,64,0.0186,0.0,1,0,3,0,12,0.75,0.1115,0.781,0.042,0,44,2,0.2589208483695984,0.5898423194885254,1.9811127185821533,0.01714,0.0417,0.0417
8,3715,0.4365,24,21,0.0,29.25,0.0,0.003848265390843153,0.3056398034095764,0.32016706466674805,0.3283395767211914,-0.09864621609449387,0.025920722633600235,0.36856305599212646,0.00375715596601367,0.013162602670490742,0.5425390601158142,64,0.0079,0.0,1,0,7,1,7,0.714,,,,,,,0.1818232536315918,0.6576391458511353,1.97713303565979,0.01642,,0.0417
9,4167,0.4286,24,21,0.0,30.0,0.0,0.004643970634788275,0.2810336649417877,0.2843037545681,0.43450456857681274,-0.09834084659814835,0.032782167196273804,0.4610060751438141,0.00305507006123662,0.01255001313984394,0.46373963356018066,64,0.0085,0.0,1,0,11,0,4,0.5,,,,,,,0.21206048130989075,0.6104592084884644,1.9345152378082275,0.01512,,0.0417
