iter,buffer,beta,roll_succ,roll_len,roll_ret,critic_loss,q_mean,target_mean,actor_loss,pg_loss,bc_loss,grip_loss,aux_c,aux_a,lam,n_expert,eval_succ,best_succ
0,20,0.5,0.0,20.0,0.0,0.004546940326690674,0.3157910704612732,0.31606853008270264,-1.9885659217834473,-2.500000238418579,0.4460753798484802,0.05882982909679413,0.0074467733502388,0.013058262877166271,0.007944012992084026,64,,-1.0
1,40,0.499,0.0,20.0,0.0,0.0039435336366295815,0.3245156705379486,0.31881171464920044,-1.5528510808944702,-2.499999523162842,0.9110214710235596,0.025158148258924484,0.006213359069079161,0.021937603130936623,0.004640575032681227,64,,-1.0
2,60,0.498,0.0,20.0,0.0,0.001987047493457794,0.34233731031417847,0.3421980142593384,-0.4232073128223419,-2.5,2.021888017654419,0.04077295958995819,0.003075927961617708,0.028263384476304054,0.004635687917470932,64,,-1.0
3,80,0.497,0.0,20.0,0.0,0.0019418178126215935,0.33978745341300964,0.33533811569213867,-1.33156156539917,-2.499999761581421,1.1419720649719238,0.010352080687880516,0.003017538459971547,0.03222794085741043,0.0038491992745548487,64,,-1.0
4,109,0.496,0.0,14.5,0.0,0.0023839897476136684,0.3372204601764679,0.3330608010292053,-1.154201865196228,-2.499999761581421,1.2518680095672607,0.07259079068899155,0.003070348873734474,0.042678166180849075,0.0030581632163375616,64,,-1.0
5,129,0.495,0.0,20.0,0.0,0.0030472648795694113,0.28052419424057007,0.28023889660835266,-1.1981048583984375,-2.5,1.24859619140625,0.03737916052341461,0.004562819376587868,0.031839627772569656,0.004696265794336796,64,,-1.0
6,129,0.494,0.0,0.0,0.0,0.002537974389269948,0.3042399287223816,0.31259047985076904,0.4425296187400818,-2.500000476837158,2.918023109436035,0.004542083013802767,0.004249477759003639,0.0399298220872879,0.0035668066702783108,64,,-1.0
7,149,0.493,0.0,20.0,0.0,0.002579615218564868,0.3535092771053314,0.35326385498046875,-0.9044216275215149,-2.499999761581421,1.5672610998153687,0.01233917847275734,0.003314795671030879,0.03195571526885033,0.0030513110104948282,64,,-1.0
8,189,0.492,0.0,20.0,0.0,0.005795320495963097,0.3239676058292389,0.30825087428092957,-0.8775986433029175,-2.5,1.5493539571762085,0.053552404046058655,0.008651725016534328,0.03899002820253372,0.004815175198018551,64,,-1.0
9,209,0.491,0.0,20.0,0.0,0.002999749965965748,0.2822161018848419,0.29008007049560547,-0.5846261978149414,-2.5,1.8468034267425537,0.049696195870637894,0.004267113283276558,0.03774832561612129,0.004257852211594582,64,,-1.0
10,209,0.49,0.0,0.0,0.0,0.002745630219578743,0.27810460329055786,0.27408626675605774,-0.5534124970436096,-2.5,1.8962326049804688,0.03330283984541893,0.004129630513489246,0.034104134887456894,0.0033357995562255383,64,,-1.0
11,229,0.489,0.0,20.0,0.0,0.0031547644175589085,0.32406386733055115,0.308970183134079,-0.1041262224316597,-2.5,2.3707997798919678,0.0065180533565580845,0.004361957777291536,0.03711189702153206,0.004074515774846077,64,,-1.0
12,269,0.488,0.0,20.0,0.0,0.00407376466318965,0.28179487586021423,0.2784932851791382,-0.5946996808052063,-2.499999761581421,1.8496017456054688,0.035919710993766785,0.007293404079973698,0.039557259529829025,0.003691434860229492,64,,-1.0
13,269,0.487,0.0,0.0,0.0,0.0030406515579670668,0.31457245349884033,0.3202933669090271,-0.825001060962677,-2.500000238418579,1.6393746137619019,0.013710733503103256,0.00538277393206954,0.0438275970518589,0.0031067882664501667,64,,-1.0
14,309,0.486,0.0,20.0,0.0,0.0017440144438296556,0.30156388878822327,0.29863274097442627,0.909509003162384,-2.5,3.334258794784546,0.055294983088970184,0.0026268509682267904,0.03991048410534859,0.0029105977155268192,64,,-1.0
15,349,0.485,0.0,20.0,0.0,0.002543804934248328,0.29195910692214966,0.2847430109977722,1.3443264961242676,-2.5,3.7857613563537598,0.041945576667785645,0.0035862561780959368,0.03323902562260628,0.002659349935129285,64,,-1.0
16,389,0.484,0.0,20.0,0.0,0.002919814083725214,0.2766574025154114,0.286286324262619,0.5453354120254517,-2.499999523162842,3.015451431274414,0.006796961650252342,0.003881496610119939,0.04617311432957649,0.002979792421683669,64,,-1.0
17,409,0.483,0.0,20.0,0.0,0.0033284765668213367,0.31087037920951843,0.3179824948310852,8.901620864868164,-2.4999966621398926,1.9404481649398804,9.441095352172852,0.004917948506772518,0.040146879851818085,0.0030963579192757607,64,,-1.0
18,409,0.482,0.0,0.0,0.0,0.002195128705352545,0.2860288619995117,0.2971639931201935,-1.3684688806533813,-2.5,1.088453769683838,0.022385165095329285,0.002680793171748519,0.0413844920694828,0.004178058821707964,64,,-1.0
19,429,0.481,0.0,20.0,0.0,0.001957021886482835,0.3267872631549835,0.318351686000824,-1.129846453666687,-2.5,1.3398284912109375,0.01100620161741972,0.0028453136328607798,0.03863763436675072,0.003184657543897629,64,,-1.0
20,449,0.48,0.0,20.0,0.0,0.003009079024195671,0.271353542804718,0.28197821974754333,-0.32067570090293884,-2.499995708465576,2.139719009399414,0.02184697426855564,0.003648466896265745,0.03550801798701286,0.0035586415324360132,64,,-1.0
21,449,0.479,0.0,0.0,0.0,0.0013591262977570295,0.2875932455062866,0.2936859726905823,-1.5584437847137451,-2.499999761581421,0.9077825546264648,0.014817834831774235,0.0017479282105341554,0.03791108354926109,0.003163024317473173,64,,-1.0
22,469,0.478,0.0,20.0,0.0,0.002456984017044306,0.2915198802947998,0.29723620414733887,-1.1364585161209106,-2.5,1.3097858428955078,0.03519771620631218,0.0038568705786019564,0.0371159128844738,0.0026429814752191305,64,,-1.0
23,469,0.477,0.0,0.0,0.0,0.0021189269609749317,0.30481404066085815,0.29757124185562134,-0.8420862555503845,-2.5,1.617431402206421,0.020579267293214798,0.002183174015954137,0.03980614244937897,0.002573225414380431,64,,-1.0
24,509,0.476,0.0,20.0,0.0,0.0018366500735282898,0.2584352493286133,0.26062119007110596,-1.435814380645752,-2.5,1.0257995128631592,0.01997755840420723,0.002805137075483799,0.03681698814034462,0.0028388281352818012,64,,-1.0
25,529,0.475,0.0,20.0,0.0,0.0019843904301524162,0.2460956573486328,0.24582679569721222,0.3201082944869995,-2.5,2.7310492992401123,0.07009115815162659,0.0034033390693366528,0.03793569654226303,0.0026922407560050488,64,,-1.0
26,529,0.474,0.0,0.0,0.0,0.001538395183160901,0.2495713233947754,0.24217364192008972,0.020564934238791466,-2.5,2.4363017082214355,0.06385438144207001,0.0024460176937282085,0.04081768915057182,0.0025515942834317684,64,,-1.0
27,529,0.473,0.0,0.0,0.0,0.0019961996003985405,0.296146959066391,0.29734283685684204,1.2290632724761963,-2.5,3.650083065032959,0.05630301311612129,0.003102951915934682,0.04535434767603874,0.002656015334650874,64,,-1.0
28,569,0.472,0.0,20.0,0.0,0.0034006594214588404,0.28930556774139404,0.28638091683387756,-0.7688586115837097,-2.499999761581421,1.707424521446228,0.003272019559517503,0.0046728248707950115,0.040889255702495575,0.0027829387690871954,64,,-1.0
29,569,0.471,0.0,0.0,0.0,0.0021772277541458607,0.26650866866111755,0.26942843198776245,0.3201909065246582,-2.5,2.7936453819274902,0.0085990522056818,0.0037372952792793512,0.03589295968413353,0.002765623154118657,64,,-1.0
30,589,0.47,0.0,20.0,0.0,0.0023218230344355106,0.28447720408439636,0.28952157497406006,-0.23781688511371613,-2.499998092651367,2.213754177093506,0.027766501531004906,0.003880584379658103,0.04132107272744179,0.0046100858598947525,64,,-1.0
31,609,0.469,0.0,20.0,0.0,0.003774745389819145,0.2776649594306946,0.2664109170436859,-0.8439518809318542,-2.5,1.5898723602294922,0.04034899175167084,0.0042931875213980675,0.051653556525707245,0.00395706482231617,64,,-1.0
32,629,0.468,0.0,20.0,0.0,0.003082254435867071,0.2725979685783386,0.27646923065185547,-0.07917532324790955,-2.500000476837158,2.3847780227661133,0.011297833174467087,0.005462596658617258,0.049498580396175385,0.0035011032596230507,64,,-1.0
33,649,0.467,0.0,20.0,0.0,0.0035599987022578716,0.2200775146484375,0.22745850682258606,1.096513271331787,-2.5,3.520817279815674,0.05105109140276909,0.005582207348197699,0.049289803951978683,0.0033479088451713324,64,,-1.0
34,649,0.466,0.0,0.0,0.0,0.0020586932078003883,0.2927181124687195,0.29519981145858765,0.6550062894821167,-2.5,3.1228575706481934,0.00772674847394228,0.0034575399477034807,0.04884403944015503,0.003161589615046978,64,,-1.0
35,689,0.465,0.0,20.0,0.0,0.0027818926610052586,0.24151672422885895,0.23462682962417603,0.838767409324646,-2.5,3.3119380474090576,0.0029221498407423496,0.004813090898096561,0.047814399003982544,0.003180377185344696,64,,-1.0
