iter,buffer,beta,roll_succ,roll_len,roll_ret,critic_loss,q_mean,target_mean,actor_loss,pg_loss,bc_loss,grip_loss,aux_c,aux_a,lam,n_expert,roll_min_pos,roll_close,roll_skip,roll_miss,roll_timeout,roll_fail,eval_min_pos,eval_min_rot,eval_close,eval_miss,eval_timeout,eval_fail,q_pi,a_absmean,grip_logit,buf_pos,eval_succ,best_succ
0,20,0.5,0.0,20.0,0.0,0.004546940326690674,0.3157910704612732,0.31606853008270264,-1.9885659217834473,-2.500000238418579,0.4460753798484802,0.05882982909679413,0.0074467733502388,0.013058262877166271,0.007944012992084026,64,0.1335,0.0,1,0,1,0,,,,,,,314.7024230957031,1.183983325958252,12135.556640625,0.0,,-1.0
1,40,0.499,0.0,20.0,0.0,0.0039435336366295815,0.3245156705379486,0.31881171464920044,-1.5528510808944702,-2.499999523162842,0.9110214710235596,0.025158148258924484,0.006213359069079161,0.021937603130936623,0.004640575032681227,64,0.0608,0.0,1,0,1,0,,,,,,,538.726318359375,1.345212697982788,23061.80859375,0.0,,-1.0
2,60,0.498,0.0,20.0,0.0,0.001987047493457794,0.34233731031417847,0.3421980142593384,-0.4232073128223419,-2.5,2.021888017654419,0.04077295958995819,0.003075927961617708,0.028263384476304054,0.004635687917470932,64,0.2525,0.0,1,0,1,0,,,,,,,539.2943115234375,2.638718843460083,23460.505859375,0.0,,-1.0
3,80,0.497,0.0,20.0,0.0,0.0019418178126215935,0.33978745341300964,0.33533811569213867,-1.33156156539917,-2.499999761581421,1.1419720649719238,0.010352080687880516,0.003017538459971547,0.03222794085741043,0.0038491992745548487,64,0.1752,0.0,1,0,1,0,,,,,,,649.4857177734375,1.623012900352478,26106.001953125,0.0,,-1.0
4,109,0.496,0.0,14.5,0.0,0.0023839897476136684,0.3372204601764679,0.3330608010292053,-1.154201865196228,-2.499999761581421,1.2518680095672607,0.07259079068899155,0.003070348873734474,0.042678166180849075,0.0030581632163375616,64,0.0838,0.0,0,0,1,1,,,,,,,817.484130859375,1.8622459173202515,34016.2109375,0.0,,-1.0
5,129,0.495,0.0,20.0,0.0,0.0030472648795694113,0.28052419424057007,0.28023889660835266,-1.1981048583984375,-2.5,1.24859619140625,0.03737916052341461,0.004562819376587868,0.031839627772569656,0.004696265794336796,64,0.4823,0.0,1,0,1,0,,,,,,,532.3378295898438,1.689878225326538,23543.73828125,0.0,,-1.0
6,129,0.494,0.0,0.0,0.0,0.002537974389269948,0.3042399287223816,0.31259047985076904,0.4425296187400818,-2.500000476837158,2.918023109436035,0.004542083013802767,0.004249477759003639,0.0399298220872879,0.0035668066702783108,64,,0.0,2,0,0,0,,,,,,,700.9071044921875,3.767024040222168,32547.2109375,0.0,,-1.0
7,149,0.493,0.0,20.0,0.0,0.002579615218564868,0.3535092771053314,0.35326385498046875,-0.9044216275215149,-2.499999761581421,1.5672610998153687,0.01233917847275734,0.003314795671030879,0.03195571526885033,0.0030513110104948282,64,0.041,0.0,1,0,1,0,,,,,,,819.3199462890625,2.2907938957214355,36476.4296875,0.0,,-1.0
8,189,0.492,0.0,20.0,0.0,0.005795320495963097,0.3239676058292389,0.30825087428092957,-0.8775986433029175,-2.5,1.5493539571762085,0.053552404046058655,0.008651725016534328,0.03899002820253372,0.004815175198018551,64,0.0776,0.0,0,0,2,0,,,,,,,519.19189453125,2.0693705081939697,24277.5703125,0.0,,-1.0
9,209,0.491,0.0,20.0,0.0,0.002999749965965748,0.2822161018848419,0.29008007049560547,-0.5846261978149414,-2.5,1.8468034267425537,0.049696195870637894,0.004267113283276558,0.03774832561612129,0.004257852211594582,64,0.391,0.0,1,0,1,0,,,,,,,587.1505126953125,2.2732019424438477,27105.2421875,0.0,,-1.0
10,209,0.49,0.0,0.0,0.0,0.002745630219578743,0.27810460329055786,0.27408626675605774,-0.5534124970436096,-2.5,1.8962326049804688,0.03330283984541893,0.004129630513489246,0.034104134887456894,0.0033357995562255383,64,,0.0,2,0,0,0,,,,,,,749.4454956054688,2.379638195037842,33571.26171875,0.0,,-1.0
11,229,0.489,0.0,20.0,0.0,0.0031547644175589085,0.32406386733055115,0.308970183134079,-0.1041262224316597,-2.5,2.3707997798919678,0.0065180533565580845,0.004361957777291536,0.03711189702153206,0.004074515774846077,64,0.4965,0.0,1,0,1,0,,,,,,,613.56982421875,2.9511070251464844,28821.140625,0.0,,-1.0
12,269,0.488,0.0,20.0,0.0,0.00407376466318965,0.28179487586021423,0.2784932851791382,-0.5946996808052063,-2.499999761581421,1.8496017456054688,0.035919710993766785,0.007293404079973698,0.039557259529829025,0.003691434860229492,64,0.1166,0.0,0,0,2,0,,,,,,,677.2433471679688,2.445786237716675,31993.26171875,0.0,,-1.0
13,269,0.487,0.0,0.0,0.0,0.0030406515579670668,0.31457245349884033,0.3202933669090271,-0.825001060962677,-2.500000238418579,1.6393746137619019,0.013710733503103256,0.00538277393206954,0.0438275970518589,0.0031067882664501667,64,,0.0,2,0,0,0,,,,,,,804.6895751953125,2.0672507286071777,37921.0859375,0.0,,-1.0
14,309,0.486,0.0,20.0,0.0,0.0017440144438296556,0.30156388878822327,0.29863274097442627,0.909509003162384,-2.5,3.334258794784546,0.055294983088970184,0.0026268509682267904,0.03991048410534859,0.0029105977155268192,64,0.108,0.0,0,0,2,0,,,,,,,858.9300537109375,3.631978988647461,39401.5078125,0.0,,-1.0
15,349,0.485,0.0,20.0,0.0,0.002543804934248328,0.29195910692214966,0.2847430109977722,1.3443264961242676,-2.5,3.7857613563537598,0.041945576667785645,0.0035862561780959368,0.03323902562260628,0.002659349935129285,64,0.0679,0.0,0,0,2,0,,,,,,,940.079345703125,4.319460868835449,41963.9140625,0.0,,-1.0
16,389,0.484,0.0,20.0,0.0,0.002919814083725214,0.2766574025154114,0.286286324262619,0.5453354120254517,-2.499999523162842,3.015451431274414,0.006796961650252342,0.003881496610119939,0.04617311432957649,0.002979792421683669,64,0.0629,0.0,0,0,2,0,,,,,,,838.9844360351562,3.574263095855713,40729.921875,0.0,,-1.0
17,409,0.483,0.0,20.0,0.0,0.0033284765668213367,0.31087037920951843,0.3179824948310852,8.901620864868164,-2.4999966621398926,1.9404481649398804,9.441095352172852,0.004917948506772518,0.040146879851818085,0.0030963579192757607,64,0.1396,0.0,1,0,1,0,,,,,,,807.399169921875,2.292879104614258,39205.1796875,0.0,,-1.0
18,409,0.482,0.0,0.0,0.0,0.002195128705352545,0.2860288619995117,0.2971639931201935,-1.3684688806533813,-2.5,1.088453769683838,0.022385165095329285,0.002680793171748519,0.0413844920694828,0.004178058821707964,64,,0.0,2,0,0,0,,,,,,,598.364013671875,1.6290696859359741,30911.640625,0.0,,-1.0
19,429,0.481,0.0,20.0,0.0,0.001957021886482835,0.3267872631549835,0.318351686000824,-1.129846453666687,-2.5,1.3398284912109375,0.01100620161741972,0.0028453136328607798,0.03863763436675072,0.003184657543897629,64,0.2489,0.0,1,0,1,0,,,,,,,785.0137939453125,1.9277880191802979,39847.296875,0.0,,-1.0
20,449,0.48,0.0,20.0,0.0,0.003009079024195671,0.271353542804718,0.28197821974754333,-0.32067570090293884,-2.499995708465576,2.139719009399414,0.02184697426855564,0.003648466896265745,0.03550801798701286,0.0035586415324360132,64,0.0952,0.0,1,0,1,0,,,,,,,702.5140380859375,2.7474935054779053,36563.2734375,0.0,,-1.0
21,449,0.479,0.0,0.0,0.0,0.0013591262977570295,0.2875932455062866,0.2936859726905823,-1.5584437847137451,-2.499999761581421,0.9077825546264648,0.014817834831774235,0.0017479282105341554,0.03791108354926109,0.003163024317473173,64,,0.0,2,0,0,0,,,,,,,790.3827514648438,1.3744688034057617,41698.3203125,0.0,,-1.0
22,469,0.478,0.0,20.0,0.0,0.002456984017044306,0.2915198802947998,0.29723620414733887,-1.1364585161209106,-2.5,1.3097858428955078,0.03519771620631218,0.0038568705786019564,0.0371159128844738,0.0026429814752191305,64,0.373,0.0,1,0,1,0,,,,,,,945.9014282226562,1.8093085289001465,48653.19140625,0.0,,-1.0
23,469,0.477,0.0,0.0,0.0,0.0021189269609749317,0.30481404066085815,0.29757124185562134,-0.8420862555503845,-2.5,1.617431402206421,0.020579267293214798,0.002183174015954137,0.03980614244937897,0.002573225414380431,64,,0.0,2,0,0,0,,,,,,,971.5433349609375,2.11132550239563,49739.765625,0.0,,-1.0
24,509,0.476,0.0,20.0,0.0,0.0018366500735282898,0.2584352493286133,0.26062119007110596,-1.435814380645752,-2.5,1.0257995128631592,0.01997755840420723,0.002805137075483799,0.03681698814034462,0.0028388281352818012,64,0.0957,0.0,0,0,2,0,,,,,,,880.6450805664062,1.4786930084228516,45842.8828125,0.0,,-1.0
25,529,0.475,0.0,20.0,0.0,0.0019843904301524162,0.2460956573486328,0.24582679569721222,0.3201082944869995,-2.5,2.7310492992401123,0.07009115815162659,0.0034033390693366528,0.03793569654226303,0.0026922407560050488,64,0.3874,0.0,1,0,1,0,,,,,,,928.5945434570312,3.0112738609313965,48009.78125,0.0,,-1.0
26,529,0.474,0.0,0.0,0.0,0.001538395183160901,0.2495713233947754,0.24217364192008972,0.020564934238791466,-2.5,2.4363017082214355,0.06385438144207001,0.0024460176937282085,0.04081768915057182,0.0025515942834317684,64,,0.0,2,0,0,0,,,,,,,979.7796630859375,2.86501407623291,50613.2890625,0.0,,-1.0
27,529,0.473,0.0,0.0,0.0,0.0019961996003985405,0.296146959066391,0.29734283685684204,1.2290632724761963,-2.5,3.650083065032959,0.05630301311612129,0.003102951915934682,0.04535434767603874,0.002656015334650874,64,,0.0,2,0,0,0,,,,,,,941.2596435546875,4.100081920623779,47780.0859375,0.0,,-1.0
28,569,0.472,0.0,20.0,0.0,0.0034006594214588404,0.28930556774139404,0.28638091683387756,-0.7688586115837097,-2.499999761581421,1.707424521446228,0.003272019559517503,0.0046728248707950115,0.040889255702495575,0.0027829387690871954,64,0.4529,0.0,0,0,2,0,,,,,,,898.3309326171875,2.115293025970459,47492.078125,0.0,,-1.0
29,569,0.471,0.0,0.0,0.0,0.0021772277541458607,0.26650866866111755,0.26942843198776245,0.3201909065246582,-2.5,2.7936453819274902,0.0085990522056818,0.0037372952792793512,0.03589295968413353,0.002765623154118657,64,,0.0,2,0,0,0,,,,,,,903.9553833007812,3.1220145225524902,51116.8828125,0.0,,-1.0
30,589,0.47,0.0,20.0,0.0,0.0023218230344355106,0.28447720408439636,0.28952157497406006,-0.23781688511371613,-2.499998092651367,2.213754177093506,0.027766501531004906,0.003880584379658103,0.04132107272744179,0.0046100858598947525,64,0.3109,0.0,1,0,1,0,,,,,,,542.288818359375,2.6239848136901855,31935.21484375,0.0,,-1.0
31,609,0.469,0.0,20.0,0.0,0.003774745389819145,0.2776649594306946,0.2664109170436859,-0.8439518809318542,-2.5,1.5898723602294922,0.04034899175167084,0.0042931875213980675,0.051653556525707245,0.00395706482231617,64,0.0977,0.0,1,0,1,0,,,,,,,631.7813720703125,2.1882832050323486,34368.546875,0.0,,-1.0
32,629,0.468,0.0,20.0,0.0,0.003082254435867071,0.2725979685783386,0.27646923065185547,-0.07917532324790955,-2.500000476837158,2.3847780227661133,0.011297833174467087,0.005462596658617258,0.049498580396175385,0.0035011032596230507,64,0.5157,0.0,1,0,1,0,,,,,,,714.0606689453125,2.8663363456726074,39962.890625,0.0,,-1.0
33,649,0.467,0.0,20.0,0.0,0.0035599987022578716,0.2200775146484375,0.22745850682258606,1.096513271331787,-2.5,3.520817279815674,0.05105109140276909,0.005582207348197699,0.049289803951978683,0.0033479088451713324,64,0.1432,0.0,1,0,1,0,,,,,,,746.7348022460938,4.12476110458374,42396.1328125,0.0,,-1.0
34,649,0.466,0.0,0.0,0.0,0.0020586932078003883,0.2927181124687195,0.29519981145858765,0.6550062894821167,-2.5,3.1228575706481934,0.00772674847394228,0.0034575399477034807,0.04884403944015503,0.003161589615046978,64,,0.0,2,0,0,0,,,,,,,790.741455078125,3.383172035217285,45389.5546875,0.0,,-1.0
35,689,0.465,0.0,20.0,0.0,0.0027818926610052586,0.24151672422885895,0.23462682962417603,0.838767409324646,-2.5,3.3119380474090576,0.0029221498407423496,0.004813090898096561,0.047814399003982544,0.003180377185344696,64,0.4079,0.0,0,0,2,0,,,,,,,786.0702514648438,3.63602876663208,44087.2578125,0.0,,-1.0
36,729,0.464,0.0,20.0,0.0,0.003280019387602806,0.30503830313682556,0.2948777675628662,-0.44202715158462524,-2.4999966621398926,2.004716396331787,0.028061887249350548,0.003153221681714058,0.05038244277238846,0.004162482917308807,64,0.1653,0.0,0,0,2,0,,,,,,,600.602294921875,2.456089973449707,37870.5390625,0.0,,-1.0
37,749,0.463,0.0,20.0,0.0,0.003276238450780511,0.29122960567474365,0.2996571362018585,-0.7794179320335388,-2.5,1.6735239028930664,0.024030586704611778,0.004639476537704468,0.04605516791343689,0.003577691735699773,64,0.0718,0.0,1,0,1,0,,,,,,,698.7745971679688,2.217445135116577,42392.30078125,0.0,,-1.0
38,769,0.462,0.0,20.0,0.0,0.0019505321979522705,0.26582491397857666,0.2713966965675354,-0.29016977548599243,-2.4999961853027344,2.1421656608581543,0.04143860191106796,0.0031681496184319258,0.05244429409503937,0.003991711884737015,64,0.0505,0.0,1,0,1,0,,,,,,,626.2966918945312,2.5481162071228027,37951.2578125,0.0,,-1.0
39,804,0.461,0.0,17.5,0.0,0.003394307801499963,0.28344082832336426,0.29206740856170654,0.38549214601516724,-2.5,2.8272933959960938,0.03352680802345276,0.00548664340749383,0.04934387654066086,0.0042007542215287685,64,0.2556,0.0,0,0,1,1,,,,,,,595.1312255859375,3.208552122116089,42508.1875,0.0,,-1.0
40,824,0.46,0.0,20.0,0.0,0.0034784963354468346,0.2859274446964264,0.28460296988487244,-0.2446647733449936,-2.5,2.2208878993988037,0.008403392508625984,0.005182878114283085,0.052087876945734024,0.0031805536709725857,64,0.3367,0.0,1,0,1,0,,,,,,,786.0266723632812,2.6898622512817383,42065.94921875,0.0,,-1.0
41,844,0.459,0.0,20.0,0.0,0.004623302258551121,0.2868247330188751,0.2952420115470886,0.4316655993461609,-2.5,2.876647710800171,0.034170787781476974,0.007380318362265825,0.04169424995779991,0.003098074346780777,64,0.2829,0.0,1,0,1,0,,,,,,,806.952880859375,3.3665499687194824,50086.2265625,0.0,,-1.0
42,864,0.458,0.0,20.0,0.0,0.002678185934200883,0.2172207236289978,0.22939012944698334,-0.2536632716655731,-2.499999761581421,2.2188754081726074,2.687698543013539e-05,0.004485760815441608,0.054868411272764206,0.003603701712563634,64,0.172,0.0,1,0,1,0,,,,,,,693.7310791015625,2.59486722946167,46704.62890625,0.0,,-1.0
43,864,0.457,0.0,0.0,0.0,0.002026510192081332,0.2826439440250397,0.27572494745254517,0.8865646719932556,-2.499999761581421,3.3576831817626953,0.0005005287239328027,0.003496788442134857,0.05676146224141121,0.0028744316659867764,64,,0.0,2,0,0,0,,,,,,,869.737060546875,3.84424090385437,53563.0078125,0.0,,-1.0
44,904,0.456,0.0,20.0,0.0,0.003745914436876774,0.2998250722885132,0.29994258284568787,1.367630124092102,-2.499998092651367,3.806154727935791,0.03627171367406845,0.006405090447515249,0.05040354281663895,0.0036268802359700203,64,0.1409,0.0,0,0,2,0,,,,,,,689.297119140625,4.172826766967773,51305.62890625,0.0,,-1.0
45,924,0.455,0.0,20.0,0.0,0.003950845915824175,0.2782621383666992,0.2894013524055481,1.0563868284225464,-2.5,3.50415301322937,0.02621498517692089,0.006015293765813112,0.05203766003251076,0.0043312180787324905,64,0.4406,0.0,1,0,1,0,,,,,,,577.204833984375,4.119983196258545,45997.58984375,0.0,,-1.0
46,924,0.454,0.0,0.0,0.0,0.0028543362859636545,0.2626115083694458,0.2583044171333313,-1.132291316986084,-2.5,1.3118339776992798,0.03593877702951431,0.004794374108314514,0.03987196832895279,0.005775148048996925,64,,0.0,2,0,0,0,,,,,,,432.8893127441406,1.695156455039978,39807.7421875,0.0,,-1.0
47,924,0.453,0.0,0.0,0.0,0.00235558720305562,0.2546934485435486,0.2512865364551544,1.1248297691345215,-2.499999761581421,3.5303306579589844,0.07282034307718277,0.003940694499760866,0.043357111513614655,0.0054762400686740875,64,,0.0,2,0,0,0,,,,,,,456.517578125,4.085434913635254,45830.0078125,0.0,,-1.0
48,944,0.452,0.0,20.0,0.0,0.0037526662927120924,0.24956387281417847,0.2587848901748657,0.8684442639350891,-2.5,3.3209643363952637,0.02175697684288025,0.00649823434650898,0.05144580081105232,0.006748417392373085,64,0.0748,0.0,1,0,1,0,,,,,,,370.45721435546875,3.865858793258667,41099.27734375,0.0,,-1.0
49,964,0.451,0.0,20.0,0.0,0.003077089786529541,0.26168400049209595,0.2688039541244507,-0.49547991156578064,-2.500000238418579,1.9595874547958374,0.017400361597537994,0.005219689104706049,0.05506497621536255,0.005723817273974419,64,0.2151,0.0,1,0,1,0,,,,,,,436.771484375,2.5040571689605713,49686.55078125,0.0,,-1.0
50,964,0.45,0.0,0.0,0.0,0.002334500662982464,0.28562384843826294,0.289095401763916,-0.059874873608350754,-2.4999990463256836,2.3988749980926514,0.017993466928601265,0.003891077358275652,0.046511419117450714,0.004811787512153387,64,,0.0,2,0,0,0,0.66,0.9358,0.0,0,20,0,519.5572509765625,2.967717170715332,46605.6640625,0.0,0.0,0.0
51,984,0.449,0.0,20.0,0.0,0.003337267553433776,0.20709353685379028,0.2047407478094101,0.4149530529975891,-2.5,2.875980854034424,0.009464910253882408,0.005869966000318527,0.05901455879211426,0.004593828693032265,64,0.4602,0.0,1,0,1,0,,,,,,,544.2083740234375,3.457202434539795,47198.21484375,0.0,,0.0
52,1004,0.448,0.0,20.0,0.0,0.003829310415312648,0.28052449226379395,0.2809813916683197,-1.24518883228302,-2.5,1.1999849081039429,0.026096753776073456,0.007110668811947107,0.05745910480618477,0.005140424706041813,64,0.4832,0.0,1,0,1,0,,,,,,,486.3411560058594,1.7319700717926025,41712.04296875,0.0,,0.0
53,1024,0.447,0.0,20.0,0.0,0.002805486787110567,0.262116014957428,0.2604699730873108,1.5315419435501099,-2.5,4.004844665527344,0.0,0.0051800888031721115,0.053394608199596405,0.0039454614743590355,64,0.1364,0.0,1,0,1,0,,,,,,,633.639404296875,4.363134860992432,56333.171875,0.0,,0.0
54,1044,0.446,0.0,20.0,0.0,0.0025825337506830692,0.2781311273574829,0.27880555391311646,-0.33405983448028564,-2.499999761581421,2.119781494140625,0.026550255715847015,0.004717858508229256,0.03921633958816528,0.005252394359558821,64,0.1774,0.0,1,0,1,0,,,,,,,475.973388671875,2.536999464035034,42228.84765625,0.0,,0.0
55,1084,0.445,0.0,20.0,0.0,0.003534985240548849,0.26204097270965576,0.2675628364086151,1.7268420457839966,-2.5,4.1768646240234375,0.0272431168705225,0.006314311176538467,0.04546859860420227,0.005284583196043968,64,0.0705,0.0,0,0,2,0,,,,,,,473.07421875,4.697566032409668,43183.62109375,0.0,,0.0
