iter,buffer,beta,roll_succ,roll_len,roll_ret,critic_loss,q_mean,target_mean,actor_loss,pg_loss,bc_loss,grip_loss,aux_c,aux_a,lam,n_expert,roll_min_pos,roll_close,roll_skip,roll_miss,roll_timeout,roll_fail,exp_kept,exp_succ,eval_min_pos,eval_min_rot,eval_close,eval_miss,eval_timeout,eval_fail,q_pi,a_absmean,grip_logit,buf_pos,eval_succ,best_succ
0,0,0.5,0.0,0.0,0.0,0.0031306021846830845,0.45516616106033325,0.4637492895126343,-0.08104826509952545,-0.10000000894069672,0.00560444500297308,0.0004369418602436781,0.00532185286283493,0.014611820690333843,0.15161369740962982,64,,0.0,2,0,0,0,0,0.0,,,,,,,0.6595710515975952,0.6496680974960327,13.98794174194336,,,-1.0
1,30,0.499,0.0,30.0,0.0,0.0024044890888035297,0.29655760526657104,0.29003095626831055,-0.06806948035955429,-0.10000000149011612,0.008050745353102684,0.013205429539084435,0.003730758326128125,0.0052472008392214775,0.23121540248394012,64,0.009,0.0,1,0,1,0,0,0.0,,,,,,,0.43249714374542236,0.6942591667175293,13.374702453613281,0.0,,-1.0
2,90,0.498,0.0,30.0,0.0,0.0022824506741017103,0.3008720576763153,0.3092348873615265,-0.0617351159453392,-0.09981386363506317,0.016046863049268723,0.00015020844875834882,0.0027467000763863325,0.011669622734189034,0.23681019246578217,64,0.0046,0.0,0,0,2,0,0,0.0,,,,,,,0.4214931130409241,0.6200341582298279,13.290069580078125,0.0,,-1.0
3,120,0.497,1.0,30.0,1.0,0.003306256141513586,0.30016613006591797,0.30133020877838135,-0.08133348077535629,-0.09999999403953552,0.006227707490324974,0.001754112308844924,0.0035763524938374758,0.008913964033126831,0.20226185023784637,64,0.0147,1.0,1,0,0,0,0,0.0,,,,,,,0.49440860748291016,0.7533442378044128,16.076778411865234,0.00833,,-1.0
4,120,0.496,0.0,0.0,0.0,0.0018754920456558466,0.33780568838119507,0.324789822101593,-0.07033316045999527,-0.09999999403953552,0.008123118430376053,0.011094669811427593,0.0025849693920463324,0.004651863127946854,0.2178954929113388,64,,0.0,2,0,0,0,0,0.0,,,,,,,0.45893561840057373,0.6038368940353394,13.988716125488281,0.00833,,-1.0
5,120,0.495,0.0,0.0,0.0,0.002772719133645296,0.29658186435699463,0.3021356165409088,-0.07254396378993988,-0.10000000149011612,0.01135648787021637,0.0005843512481078506,0.001776078948751092,0.008317428641021252,0.20933178067207336,64,,0.0,2,0,0,0,0,0.0,,,,,,,0.4777105748653412,0.6675130724906921,15.674456596374512,0.00833,,-1.0
6,180,0.494,0.0,30.0,0.0,0.0033940488938242197,0.2994542419910431,0.28889453411102295,0.06091683357954025,-0.09986057132482529,0.013701039366424084,0.12870661914348602,0.004068093374371529,0.0093374103307724,0.23550677299499512,64,0.0051,0.0,0,0,2,0,0,0.0,,,,,,,0.42402422428131104,0.734383225440979,15.009769439697266,0.00556,,-1.0
7,210,0.493,0.0,30.0,0.0,0.0021646860986948013,0.2774721384048462,0.2779347598552704,0.1919979751110077,-0.09834331274032593,0.027523621916770935,0.2312450259923935,0.002656222553923726,0.008098037913441658,0.2475949078798294,64,0.0094,0.0,1,0,1,0,0,0.0,,,,,,,0.39719438552856445,0.6386284828186035,13.242937088012695,0.00476,,-1.0
8,236,0.492,0.0,0.0,0.0,0.0024464153684675694,0.2916519343852997,0.2902449369430542,-0.024716351181268692,-0.10000000894069672,0.009660758078098297,0.05238986387848854,0.002672710455954075,0.007144555449485779,0.2304699420928955,64,,0.0,1,0,0,0,1,0.0,,,,,,,0.4338960647583008,0.6681511402130127,15.072222709655762,0.00424,,-1.0
9,236,0.491,0.0,0.0,0.0,0.0022249158937484026,0.26117265224456787,0.2610849142074585,-0.08422861248254776,-0.0994449183344841,0.005455351434648037,4.9777379899751395e-05,0.0032803930807858706,0.008511641062796116,0.21345026791095734,64,,0.0,2,0,0,0,0,0.0,,,,,,,0.4658927023410797,0.8453623652458191,15.887027740478516,0.00424,,-1.0
